SEASON,"Series 
Code",MONTH,REGION,PROVINCE,MUNICIPALITY,BARANGAY,LATTITUDE,LONGITUDE,"CROP 
AFFECTED","DATE
 PLANTED","TOTAL AREA 
PLANTED",VARIETY,"GROWTH
 STAGE ","PEST 
OBSERVED","Monitored/Validated 
(Has.)","TOTAL AREA 
AFFECTED (ha)","PERCENT
 INFESTATION",Severity,"NO. OF INSECTS
 PER HILL","TOTAL AREA 
TREATED (ha)","TOTAL AREA 
UNTREATED (ha)","ACTION
 TAKEN",REMARKS,"DATE 
REPORTED ","NO. OF AFFECTED 
FARMER",YEAR
DS 2023-2024,,April,II,Isabela,Cabatuan,Macalaoat,16.651068,121.653819,Mung bean,Feb.2024,70,Mg14,Fruiting Stage,Pod borer,,3.5,5,9,,2,1.5,Farmers sprayed insecticide for the management of pod borer. Advised them for a regular monitoring.,,"April 12, 2024",75,2023-2024
DS 2023-2024,,April,II,Isabela,Cabatuan,Macalaoat,16.651068,121.653819,Mung bean,Feb.2024,30,Pagasa 7,Fruiting Stage,Pod borer,,1.5,5,9,,1,0.5,Farmers sprayed insecticide for the management of pod borer. Advised them for a regular monitoring.,,"April 12, 2024",25,2023-2024
DS 2023-2024,,April,II,Isabela,San Manuel,Babanuang,17.045287,121.62326,Mung bean,2/20/2024,50,Pag Asa 7,Flowering,Pod borer,,50,20,9,4,5,45,Advised farmers to spray insecticide for management of pod borer.,Revalidated,"April 18, 2024",85,2023-2024
DS 2023-2024,,April,II,Isabela,San Manuel,District 1,17.001475,121.627332,Mung bean,2/21/2024,35,Pag Asa 7,Flowering,Pod borer,,35,20,9,3,5,30,Advised farmers to spray insecticide for management of pod borer.,Revalidated,"April 18, 2024",50,2023-2024
DS 2023-2024,,April,II,Isabela,Aurora,Ballesteros,16.990249,121.624665,Mung bean,2/21/2024,20,Pag Asa 7,Flowering,Pod borer,,20,25,9,4,2,18,Advised farmers to spray insecticide for management of pod borer.,Revalidated,"April 18, 2024",30,2023-2024
DS 2023-2024,,April,II,Isabela,Roxas,San Rafael,17.1029,121.608623,Mung bean,2/18/2024,10,,Flowering,Pod borer,,10,5,9,2,10,0,Advised farmers to spray insecticide to manage the incidence of pod borers.,,"April 18, 2024",12,2023-2024
DS 2023-2024,,April,II,Isabela,Roxas,San Antonio,17.0953,121.6162,Mung bean,2/20/2024,5,,Fruiting Stage,Pod borer,,5,5,9,2,5,0,Advised farmers to spray insecticide to manage the incidence of pod borers.,,"April 18, 2024",4,2023-2024
DS 2023-2024,,April,II,Nueva Vizcaya,Diadi,Arwas,16.722087,121.37193,Mango,,13,Carabao mango,Reproductive,Fruit fly,,13,25,9,1,5,8,DA RCPC set up a trap for the management of fruitflies.,,"April 19, 2024",2,2023-2024
DS 2023-2024,,April,II,Isabela,San Manuel,Sta. Cruz,17.025176,121.624505,Mung bean,2/20/2024,35,Pag Asa 7,Flowering,Pod borer,,35,25,9,5,5,30,Advised farmers to spray insecticide to control the infestation of pod borers.,Revalidated,"April 25, 2024",45,2023-2024
DS 2023-2024,,April,II,Isabela,San Manuel,Sandiat West,17.060588,121.6264,Mung bean,2/18/2024,40,Pag Asa 7,Flowering,Pod borer,,40,25,9,5,5,35,Advised farmers to spray insecticide to control the infestation of pod borers.,Revalidated,"April 25, 2024",60,2023-2024
DS 2023-2024,,April,II,Isabela,Luna,Lalog 1,16.98546,121.7225076,Mung bean,2/18/2024,25,Pag Asa 7,Flowering,Pod borer,,25,25,9,5,3,22,Advised farmers to spray insecticide to control the infestation of pod borers.,Revalidated,"April 25, 2024",20,2023-2024
DS 2023-2024,,April,II,Isabela,Luna,Lalog 2,16.991577,121.730921,Mung bean,2/17/2024,20,Pag Asa 7,Flowering,Pod borer,,20,15,9,5,2,18,Advised farmers to spray insecticide to control the infestation of pod borers.,Revalidated,"April 25, 2024",40,2023-2024
DS 2023-2024,,April,II,Isabela,Aurora,Malasin,17.0027,121.6732,Eggplant,1/25/2024,3,Aurora Green,Fruiting Stage,Fruit and shoot borer,,3,20,9,5,1,2,Advised farmers to spray insecticide to manage the iincidence of Fruit and shoot borers.,Revalidated,"April 25, 2024",6,2023-2024
DS 2023-2024,,April,II,Isabela,Aurora,Bolinao,16.988502,121.654766,Eggplant,5/1/2024,2,Long purple,Fruiting Stage,Fruit and shoot borer,,2,30,9,5,1,1,Advised farmers to spray insecticide to manage the iincidence of Fruit and shoot borers.,Revalidated,"April 25, 2024",5,2023-2024
DS 2023-2024,,May,II,Isabela,Echague,San Felipe,16.601128,121.696642,Banana,7/23/2024,5,Lakatan,Vegetative,Banana spider mites,,0.8,50,3,multiple,0,0.8,Advised farmer to spray insecticide to manage/control pest damaged and we alsoadviced the farmer to conduct a close monitoring.,,"May 2, 2024",1,2023-2024
DS 2023-2024,,May,II,Isabela,Reina Mercedes,Binarsang,17.0207,121.734,Eggplant,2/5/2024,2.5,Longpurple,Fruiting Stage,Fruit and shoot borer,,2.5,20,5,-,1,1.5,Advice farmers to spray insecticide for the management of fruit and shoot borer.,Revalidated,"May 2, 2024",5,2023-2024
DS 2023-2024,,May,II,Isabela,Reina Mercedes,Binarsang,17.0207,121.734,Bottle gourd,2/10/2024,1,Mayumi F1,Fruiting Stage,Fruit fly,,1,15,3,-,1,0,Advised farmers to install/put up insect trap for the management of Fruit fly.,Revalidated,"May 2, 2024",2,2023-2024
DS 2023-2024,,May,II,Isabela,Aurora,Bagnos,17.009583,121.680945,Mung bean,2/10/2024,15,PAG ASA 7,Fruiting Stage,Pod borer,,15,15,3,-,5,25,Advised farmers to spray insecticide for the management of pod borer.,Revalidated,"May 2, 2024",30,2023-2024
DS 2023-2024,,May,II,Isabela,Aurora,Diamantina,17.002846,121.653065,Mung bean,2/8/2024,20,PAG ASA 7,Fruiting Stage,Pod borer,,20,15,3,-,5,15,Advised farmers to spray insecticide for the management of pod borer.,Revalidated,"May 2, 2024",40,2023-2024
DS 2023-2024,,May,II,Isabela,Aurora,Sta. Rita,16.99191,121.64142,Mung bean,2/8/2024,10,PAG ASA 7,Fruiting Stage,Pod borer,,10,15,3,-,2,8,Advised farmers to spray insecticide for the management of pod borer.,Revalidated,"May 2, 2024",25,2023-2024
DS 2023-2024,,May,II,Isabela,San Manuel,Dist. 2,17.01992,121.64093,Mung bean,2/20/2024,25,Pag Asa 7,Flowering,Pod borer,,25,20,5,-,5,20,Advised farmers to spray insecticide for the management of pod borer.,Revalidated,"May 2, 2024",50,2023-2024
DS 2023-2024,,May,II,Isabela,San Manuel,Dist. 4,17.02807,121.63954,Mung bean,2/18/2024,20,Pag Asa 7,Flowering,Pod borer,,20,15,3,-,5,15,Advised farmers to spray insecticide for the management of pod borer.,Revalidated,"May 2, 2024",40,2023-2024
DS 2023-2024,,May,II,Isabela,San Manuel,Pisang,17.03711,121.66254,Mung bean,2/20/2024,30,Pag Asa 7,Flowering,Pod borer,,30,15,3,-,10,20,Advised farmers to spray insecticide for the management of pod borer.,Revalidated,"May 2, 2024",55,2023-2024
DS 2023-2024,,May,II,Isabela,San Manuel,Sandiat Centro,17.07065,121.63898,Mung bean,2/17/2024,15,Pag Asa 7,Flowering,Pod borer,,15,15,3,-,5,10,Advised farmers to spray insecticide for the management of pod borer.,Revalidated,"May 2, 2024",30,2023-2024
DS 2023-2024,,May,II,Isabela,San Manuel,Mararigue,17.001137,121.618869,Mung bean,2/20/2024,5,Pag Asa 7,Poding,Green Vegetable bug,,5,25,5,,0,5,Advised farmers to spray insecticide for the management of bugs.,Revalidated,"May 9, 2024",10,2023-2024
DS 2023-2024,,May,II,Isabela,Roxas,Munoz East,17.145352,121.616683,Mung bean,3/26/2024,5,Pag asa 7,Fruiting Stage,Pod borer,,2,5,1,2,5,0,Advised farmers to spray insecticide at early stage when insect occurs.,,"May 9, 2024",4,2023-2024
DS 2023-2024,,May,II,Isabela,City of Ilagan ,Baculud,17.1478,121.8937,Pepper,1/12/2023,0.8,"Aruy-uy, pakbet",Fruiting Stage,Fusarium Wilt,,0.8,5,7,-,0.8,0,Advised farmers to conduct drenching of Fungicide to prevent the spread of Fungal Diseases.,,"May 15, 2024",2,2023-2024
DS 2023-2024,,May,II,Isabela,Roxas,Marcos,17.1673783,121.5810917,Beans,5/18/2024,0.7,Star Premium,Seedling,Aphids,,0.7,5,3,,0.7,0,Advised farmers to spray insecticide and conduct a follow up applicaton of BCA.,,"May 30, 2024",2,2023-2024
DS 2023-2024,,May,II,Quirino,Aglipay,San Leonardo,16.487908,121.58567,Cacao,11/11/2011,1,Cacao,Reproductive,Pod rot,,1,1,1,3,0,1,Advised farmers to remove damaged fruit for disposal and spray biological control agents for management.,,"May 29, 2024",1,2023-2024
WS 2024,PPV-24-0001,June,II,Isabela,Burgos,Culalabo Norte,17.11326,121.7066833,Luffa Gourd,5/29/2024,0.7,Premera F1,Vegetative,Leaf Miner,0.7,0.7,2,1,2,0.7,0,Advised farmer to spray insecticide and apply BCAs.,,"June 6, 2024",1,2023-2024
WS 2024,PPM-24-0002,June,II,Nueva Vizcaya,Kasibu,Binogawan,16.367192,121.40089,Citrus,1/7/1905,30,Satzuma,Reproductive,Rind borer,15,15,5,1,,15,0,Advised farmers to spray EPF or recommended insecticide to manage the infestation of rind borer.,,"June 6, 2024",17,2024
WS 2024,PPM-24-0003,June,II,Nueva Vizcaya,Kasibu,Tadji,16.367192,121.400893,Citrus,1/7/1905,25,Satzuma,Reproductive,Rind borer,10,10,5,1,,10,0,Advised farmers to spray EPF or recommended insecticide to manage the infestation of rind borer.,,"June 6, 2024",12,2024
WS 2024,PPM-24-0004,June,II,Nueva Vizcaya,Kasibu,Malabing,16.367192,121.400893,Citrus,1/7/1905,50,Satzuma,Reproductive,Rind borer,20,20,5,1,,20,0,Advised farmers to spray EPF or recommended insecticide to manage the infestation of rind borer.,,"June 6, 2024",23,2024
WS 2024,PPM-24-0005,June,II,Isabela,Roxas,San Placido,17.15081667,121.5697367,Pomelo,7/13/1905,28,Menzi,Vegetative,Gummosis,28,2,2,9,,2,0,Farmer conducted prunning on the infected plants and DA-RCPC provides Fungicide/Bactericide for the management of the disease.,,"June 24, 2024",1,2024
WS 2024,PPM-24-0006,June,II,Isabela,Roxas,San Placido,17.15081667,121.5697367,Coconut,7/13/1905,2,Coco pandan,Vegetative,Red palm weevil,10,10,3,9,1,10,0,DA RCPC provides insecticide and farmer applied insecticide to manage the infestation of the pest.,,"June 24, 2024",1,2024
WS 2024,PPM-24-0007,June,II,Isabela,Roxas,San Placido,17.15081667,121.5697367,Rambutan,7/13/1905,5,-,Flowering,Anthracnose,5,5,5,9,,5,0,Advised farmer to sprayed Fungicide and continuous monitoring,,"June 24, 2024",1,2024
WS 2024,PPM-24-0008,June,II,Isabela,Burgos,Dalig Viejo,17.0274884,121.710656,Calamansi,1/5/2015,3,Calamondin,Fruiting Stage,Rind borer,3,0.5,17,3,,0.5,0,Advice farmers to spray recommended insecticide for the management of the pest and conduct a regular monitoring.,,"June 27, 2024",2,2024
WS 2024,PPM-24-0009,June,II,Isabela,Aurora,Bagong Tanza,16.977613,121.620035,Bitter gourd,4/25/2024,0.8,Galaxy,Fruiting Stage,Fruit fly,0.8,0.1,12,3,-,0.1,0,Advised farmers to put insect attractant for the management of fruit fly.,,"June 27, 2024",2,2024
WS 2024,PPM-24-0010,June,II,Isabela,Aurora,Kalabaza,16.976711,121.62814,Eggplant,2/4/2024,2.5,Longpurple,Fruiting Stage,Fruit borer,2.5,0.3,12,3,-,0.3,0,Advice farmers to spray recommended insecticide for the management of the pest and conduct a regular monitoring.,,"June 27, 2024",0,2024
WS 2024,PPM-24-0011,June,II,Isabela,Aurora,Bagong Tanza,16.977839,121.6275567,Calamansi,1/5/2016,5,Calamondin,Fruiting Stage,Gummosis,5,0.4,8,3,-,0,0.4,Advised farmers to conduct prunning to manage the infection of the disease.,,,2,2024
WS 2024,PPM-24-0012,July,II,Isabela,Aurora,Kalabaza,16.972597,121.625189,Calamansi,1/7/2016,12,Calamondin,Fruiting Stage,Rind borer,12,3,25,3,-,2,1,Advised farmers to spray recommended insecticide for the management of rind borer and conduct a regular monitoring.,,"July 11, 2024",8,2024
WS 2024,PPM-24-0013,July,II,Isabela,Jones,Barangay 2,16.5515,121.70218,String beans,1/5/2024,0.02,Negro star,Flowering,Aphids,0.02,0.008,40,3,5,0,0.008,Advised farmer to spray botanical pesticides for the management of pest.,,"July 10, 2024",1,2024
WS 2024,PPM-24-0014,July,II,Isabela,Jones,Barangay 2,16.55146,121.70218,Okra,1/5/2024,0.03,Lady Finger,Flowering,GLH,0.03,0.012,40,3,,0,0.012,Advised farmer to spray botanical pesticides for the management of pest.,,"July 10, 2024",2,2024
WS 2024,PPM-24-0015,July,II,Isabela,Jones,Payac,16.5753,12169102,Cacao,Year 2009,1,K9,Fruiting Stage,Cherelle wilt,1,0.2,20,3,,0,0.2,Advised farmer to construct drainage for exces water and spray fungicide to manage the indicence of the disease.,,"July 10, 2024",1,2024
WS 2024,PPM-24-0016,July,II,Isabela,Roxas,Sinamar,17.169765,121.5732133,Squash,6/20/2024,1.2,Suprema F1,Vegetative,Squash Beetle,1.2,0.06,5,3,3,0.06,0,Advised farmer to spray recommended insecticide and follow up application of BCA to manage the pest.,,"July 18, 2024",4,2024
WS 2024,PPM-24-0017,July,II,Isabela,Aurora,Saranay,16.982847,121.653689,Eggplant,1/2/2024,3,Aurora Green,Fruiting Stage,Phomopsis blight,3,0.3,10,3,,0.3,0,Advised farmers to spray fungicide for the management of the disease.,,"July 18, 2024",2,2024
WS 2024,PPM-24-0018,July,II,Isabela,Roxas,San Placido,17.15025167,121.5848017,Pomelo,7/14/1905,3,Menzi Pomelo Davao,Vegetative,Leaf Miner,3,0.15,5,9,,0.15,0,Farmer sprayed insecticide. Advised the farmer to apply BCA and conduct a continuous monitoring.,,"July 26, 2024",1,2024
WS 2024,PPM-24-0019,July,II,Nueva Vizcaya,Bagabag,Villaros,16.608555,121.291845,Pomelo,-,1.5,Sweet Abulug Pomelo,Reproductive,Leaf Miner,1.5,0.75,50,1,,0.75,0,Farmer sprayed insecticide. Advised the farmer to apply BCA and conduct a continuous monitoring.,,"July 19, 2024",1,2024
WS 2024,PPM-24-0020,July,II,Nueva Vizcaya,Diadi,Arwas,16.72219,121.37179,Mango,-,1.5,Carabao mango,Reproductive,Anthracnose,1.5,0.75,50,1,,0.75,0,Advised farmer to conduct a continuous monitoring.,,"July 22, 2024",1,2024
WS 2024,PPV-24-0021,July,II,Nueva Vizcaya,Aritao,Common,16.2608531,121.0410183,Coconut,7/14/1905,1.5,Unknown,-,Weevil,1.5,0.3,20,9,,0.3,0,Advised farmer to spray recommended insecticide for the management of the pest and conduct a regular monitoring.,,"July 26, 2024",1,2024
WS 2024,PPM-24-0021,August,II,Quirino,Maddela,Cofcaville,16.396393,121.697788,Banana,10/21/2022,5,Lacatan,Fruiting Stage,Black sigatoka,5,2,40,3,,2,0,Advised farmers to remove the infected leaves and spray fungicide for the management of the disease.,,"August 1, 2024",2,2024
WS 2024,PPM-24-0022,August,II,Quirino,Maddela,Cofcaville,16.396823,121.698003,Banana,1/11/2022,6,Latondan/Aritondal,Fruiting Stage,Fusarium wilt,6,1.2,20,3,,1.2,0,Advised farmers to remove the infected leaves and spray fungicide for the management of the disease.,,"August 1, 2024",2,2024
WS 2024,PPM-24-0023,August,II,Isabela,Luna,Lalog 1,16.98889,121.720784,Mango,1/6/2017,0.5,Nanduk Mai,Fruiting Stage,Fruit fly,0.5,0.025,3,5,,0.025,0,Advised farmers to put attractant for the management of fruit fly.,,"August 8, 2024",1,2024
WS 2024,PPM-24-0024,August,II,Isabela,Quezon,Minagbag,17.38926833,121.6155,Squash,1/7/2024,1.8,Suprema F1,Vegetative,Squash Beetle,1.8,0.2,2,1,4,0.2,0,DA RCPC provides trichogrmma cards for the management of the pest. Advised farmers to monitor the area regularly.,,"August 8, 2024",4,2024
WS 2024,PPM-24-0025,August,II,Isabela,Quezon,Minagbag,17.38924833,121.6156083,Bitter gourd,1/7/2024,3,Galaxy Max F1,Vegetative,Fruit fly,3,0.4,8,1,,0.4,0,DA RCPC provides trichogrmma cards for the management of the pest. Advised farmers to monitor the area regularly.,,"August 8, 2024",2,2024
WS 2024,PPM-24-0026,August,II,Quirino,Diffun,Cajel,16.54757,121.510882,Eggplant,5/24/2024,0.5,Mojito,Reproductive,Shoot Borer,0.5,0.025,5,3,,0.025,0,Advised farmers to remove the infected shoots and spray BCA for the management of the pest.,,"August 6, 2024",2,2024
WS 2024,PPM-24-0027,August,II,Quirino,Diffun,Cajel,16.547335,121.511002,Pole sitao,5/24/2024,0.3,Negrostar,Reproductive,Leaf Miner,0.3,0.015,5,3,,0.015,0,Advised farmers to spray recommended insecticide and conduct a fallow-up application of BCA for management.,,"August 6, 2024",1,2024
WS 2024,PPM-24-0028,August,II,Quirino,Diffun,Cajel,16.54883,121.530495,Bitter gourd,6/21/2024,0.5,Galaxy Max,Reproductive,Fruit fly,0.5,0.5,5,3,,0.5,0,Farmers applied pheromone trap and biological control agents.,,"August 20, 2024",2,2024
WS 2024,PPM-24-0029,August,II,Quirino,Diffun,Cajel,16.548763,121.530568,Sponge Gourd,6/26/2024,0.2,Aura,Reproductive,Leaf Miner,0.2,0.2,3,3,,0.2,0,Farmers already apply insecticide. Advised them for a regular monitoring.,,"August 20, 2024",1,2024
WS 2024,PPM-24-0030,August,II,Isabela,Roxas,San Placido,17.15061333,121.5696567,Citrus,8/22/2024,8,Menzy Sweet Pomelo,Flowering,Leaf Miner,8,4,15,3,,4,0,Farmer sprayed insecticide and follow up BCA.,,"August 30, 2024",1,2024
WS 2024,PPM-24-0031,August,II,Isabela,Santiago City,Cabulay,16.723317,121.50387,Squash,5/6/2024,0.3,Ibana F1,Flowering,Squash Beetle,0.3,0.015,5,3,,0.3,,Advised farmers to spray recommended insecticide for management.,,"August 28, 2024",2,2024
WS 2024,PPM-24-0032,August,II,Isabela,Santiago City,Cabulay,16.7236,121.504,Eggplant,5/15/2024,0.3,Calixto F1,Fruiting Stage,Shoot Borer,0.3,0.09,30,3,,0.3,,Advised farmers to spray insecticide when monitored adult shoot borer and use pheromone traps for management.,,"August 28, 2024",2,2024
WS 2024,PPM-24-0167,August,II,Quirino,Diffun,Villa Pascua,16.599987,121.538492,Banana,5/23/2024,3,Laccatan,Reproductive,Black sigatoka,3,0.9,30,3,,0,0.9,Advised farmers to remove the infected leaves and spray fungicide for the management of the disease.,,"August 29, 2024",2,2024
WS 2024,PPM-24-0168,August,II,Nueva Vizcaya,Bagabag,Villaros,16.608555,121.291845,Pomelo,,1.5,,Reproductive,Leaf Miner,1.5,1.5,40,1,,1.5,,Already sprayed insecticide,,"August 20, 2024",1,2024
WS 2024,PPM-24-0036,September,II,Nueva Vizcaya,Quezon,Runruno,16.4289853,121.3206451,Ginger,4/15/2024,20,Hawai,Vegetative,Fusarium wilt,10,4,40,5,,0,4,DA-RCPC provides BCA(Trichoderma) for the management of the disease. Advised farmers to remove the infected plants.,,"September 5, 2024",8,2024
WS 2024,PPM-24-0037,September,II,Isabela,Reina Mercedes,Santiago,17.025518,121.774007,Bitter gourd,6/25/2024,0.3,Galaxy,Fruiting Stage,Fruit fly,0.3,0.006,2,3,,0.3,0,Advised farmers to put up fruit fly trap for the management of fruit fly and conduct a continuous monitoring.,,"September 12, 2024",2,2024
WS 2024,PPM-24-0038,September,II,Isabela,Reina Mercedes,Binarsang,17.0207,121.734,Calamansi,5/6/2014,2,Calamondin,Fruiting Stage,Gummosis,2,0.04,2,3,,0.2,0.2,Advice farmers to prune infected parts for the management of gummosis.,,"September 12, 2024",2,2024
WS 2024,PPM-24-0039,September,II,Isabela,Reina Mercedes,Binarsang,17.0207,121.734,Eggplant,2/6/2024,0.5,Longpurple,Fruiting Stage,Shoot Borer,0.5,0.01,2,3,,0.1,0,Advised farmers to spray recommended insecticide for the management of the pest and conduct a continuous monitoring.,,"September 12, 2024",1,2024
WS 2024,PPM-24-0040,September,II,Isabela,Reina Mercedes,Binarsang,17.0207,121.734,Bitter gourd,6/15/2024,0.2,Galaxy,Fruiting Stage,Fruit fly,0.2,0.004,2,3,,0.004,0,Advised farmers to put up fruit fly trap for the management of fruit fly and conduct a continuous monitoring.,,"September 12, 2024",2,2024
WS 2024,PPM-24-0041,September,II,Isabela,Reina Mercedes,Sallucong,17.021967,121.738351,Pole sitao,6/20/2024,0.2,Sierra madre,Fruiting Stage,Aphids,0.2,0.006,2,3,,0.006,0,Advised farmers to spray recmmended insecticide to manage the pest and conduct a continuous monitoring.,,"September 12, 2024",2,2024
WS 2024,PPM-24-0042,September,II,Isabela,Aurora,Macatal,16.964623,121.600258,Calamansi,6/15/2014,2.5,Calamondin,Fruiting Stage,Gummosis,2.5,0.075,3,3,,0,2.5,Advice farmers to prune infected parts for the management of gummosis.,,"September 12, 2024",3,2024
WS 2024,PPM-24-0043,September,II,Isabela,Aurora,Sta. Rosa,16.989585,121.633664,Calamansi,6/6/2025,1,Calamondin,Fruiting Stage,Scab,1,0.05,5,3,,0,1,Advised farmer to conduct a continuous monitoring.,,"September 19, 2024",1,2024
WS 2024,PPM-24-0044,September,II,Isabela,San Mateo,Daramungan Sur,16.89317,121.59332,Eggplant,7/15/2024,0.05,Calixto F1,Flowering,White fly,0.05,0.025,50,1,,0.05,0,Advised farmer to spray recommended insecticide to control white fly infestation.,,"September 12, 2024",1,2024
WS 2024,PPM-24-0045,September,II,Isabela,San Mateo,Daramungan Sur,16.89307,121.59333,Pole Sitao,7/17/2024,0.05,Negro star,Flowering,Leaf Miner,0.05,0.015,30,1,,0.05,0,"Advised farmer to monitor regularly, remove the infected leaves and use traps for adult leaf miner.",,"September 12, 2024",1,2024
WS 2024,PPM-24-0046,September,II,Isabela,Roxas,San Placido,17.132766,121.617322,Beans,4/8/2024,1.3,Bongga,Vegetative,Leaf Miner,1.3,0.13,10,1,1,0.13,0,Advised farmers to apply recommended insecticide and BCA for the management of the pest.,,"September 27, 2024",2,2024
WS 2024,PPM-24-0047,September,II,Isabela,Roxas,San Placido,17.132766,121.617322,Pepper,12/8/2024,0.7,Diango DOS F1,Vegetative,Aphids,0.7,0.07,5,1,,0.07,0,Advised farmers to apply recommended insecticide and BCA for the management of the pest.,,"September 27, 2024",1,2024
WS 2024,PPM-24-0048,October,II,Isabela,City of Ilagan ,Arusip,17.102915,121.841513,Eggplant,2/5/2024,1,Fortuner,Fruiting Stage,Shoot and Fruit borer,1,0.5,10,3,6,0.5,0,Farmers already sprayed insecticide. Advised farmers to use BCAs in managing pest.,,"October 1, 2024",2,2024
WS 2024,PPM-24-0049,October,II,Isabela,Reina Mercedes,Santiago,17.031314,121.751644,Calamansi,9/20/2024,1.5,Calamondin,Fruiting Stage,Gummosis,1.5,0.045,3,3,-,0.045,0,Advised farmer to conduct pruning for management and conduct a regular monitoring.,,"October 3, 2024",1,2024
WS 2024,PPM-24-0050,October,II,Isabela,Reina Mercedes,Santiago,17.028716,121.749307,Bottle gourd,5/7/2024,0.5,Mayumi,Fruiting Stage,Fruit fly,0.5,0.01,2,3,-,0.01,0,Advised farmer to put attractant for the management of fruit fly.,,"October 3, 2024",1,2024
WS 2024,PPM-24-0051,October,II,Quirino,Diffun,San Isidro,16.63245,121.505405,Bitter gourd,,0.3,Galaxy,Reproductive,Fruit fly,0.3,0.015,5,3,-,0.015,0,Advised farmer to apply supernet for management the fruit fly.,,"October 1, 2024",1,2024
WS 2024,PPM-24-0052,October,II,Quirino,Diffun,San Isidro,16.63217,121.50511,Eggplant,7/21/2024,0.2,Fortuner,Flowering,Shoot Borer,0.2,0.006,3,3,-,0.006,0,Advice farmers to remove all the infected shoots.,,"October 1, 2024",1,2024
WS 2024,PPM-24-0053,October,II,Isabela,Burgos,Singson,17.035142,121.744569,Calamansi,1/7/2013,1.2,Calamondin,Fruiting Stage,Gummosis,1.2,0.06,5,3,-,0.06,0,Advised farmers to conduct pruning for the management of gummosis and conduct a continuous monitoring.,,"October 10, 2024",1,2024
WS 2024,PPM-24-0054,October,II,Isabela,Burgos,Catabban,17.033711,121.743143,Calamansi,1/7/2013,2.5,Calamondin,Fruiting Stage,Scab,2.5,0.375,15,3,-,0.375,0,Advised farmers to spray fungicide for the management of scab and conduct a regular monitoring.,,"October 10, 2024",2,2024
WS 2024,PPM-24-0055,October,II,Isabela,Aurora,Dalig Kalinga,17.010352,121.695008,Eggplant,1/8/2024,2.2,Longpurple,Fruiting Stage,Fruit borer,2.2,0.154,7,3,-,0.154,0,Advised farmers to spray recommended insecticide for the management of fruit borer and conduct a continuous monitoring.,,"October 10, 2024",2,2024
WS 2024,PPM-24-0056,October,II,Isabela,Aurora,Esperanza East,17.007143,121.69085,Calamansi,1/6/2014,1,Calamondin,Fruiting Stage,Gummosis,1,0.05,5,3,-,0.05,0,Advised farmers to spray fungicide for the management of gummosis and continuous monitoring.,,"October 10, 2024",1,2024
WS 2024,PPM-24-0057,October,II,Isabela,City of Ilagan ,Baculud,17.15097627,121.903461,Squash,2/9/2024,5,Gracia F1,Vegetative,Squash Beetle,5,3.75,75,3,4,5,0,Farmers sprayed insecticide. Advised farmers to monitor the area regularly.,,14-Oct-24,10,2024
WS 2024,PPM-24-0058,October,II,Isabela,Cabatuan,"Sitio Malasin, Macalaoat",16.933363,121.628302,Eggplant,7/15/2024,0.2,Calixto F1,Fruiting Stage,Shoot Borer,0.2,0.08,40,1,,0.08,0,Advised farmer to conduct pruning to control the infestation and apply insecticide if necessary.,,9-Oct-24,1,2024
WS 2024,PPM-24-0059,October,II,Quirino,Cabarroguis,Villarose,16.502962,121.49407,Banana,6/17/2024,6,Saba,Reproductive,BBTV,6,1.8,30,3,,0,1.8,Advised farmer to remove the infected plants and spray insecticide to manage infection.,,9-Oct-24,1,2024
WS 2024,PPM-24-0060,October,II,Quirino,Cabarroguis,Gomez,16.466368,121.496665,Banana,5/22/2024,3,Laccatan,Fruiting Stage,Black Sigatoka,3,0.9,30,3,,0,0.9,Advised farmer to remove the affected leaves and spray fungicide for the management.,,15-Oct-24,2,2024
WS 2024,PPM-24-0061,October,II,Quirino,Cabarroguis,Gomez,16.466145,121.496643,Banana,10/23/2024,2,Latondan,Fruiting Stage,BBTV,2,0.4,20,1,,0,0.4,Advised farmer to remove the affected plants and sterilize the hole before planting.,,15-Oct-24,1,2024
WS 2024,PPM-24-0062,October,II,Quirino,Aglipay,Cabugao,16.452877,121.56269,Banana,6/16/2024,8,Saba,Reproductive,BBTV,8,1.6,20,1,,0,1.6,Advised farmers to remove the affected plants.,,22-Oct-24,1,2024
WS 2024,PPM-24-0063,October,II,Quirino,Aglipay,Cabugao,16.452627,121.566168,Banana,5/19/2024,3,Laccatan,Reproductive,Black Sigatoka,3,0.9,30,1,,3,0,Advised farmers to remove the affected leaves and spray Fungicide if needed.,,22-Oct-24,2,2024
WS 2024,PPM-24-0064,October,II,Isabela,Echague,San Felipe,16.601003,121.696737,Banana,7/15/2023,1.5,Lakatan,Fruiting Stage,Black Sigatoka,1.5,0.5,33.84,9,,1.5,0,Advised farmers to conduct continuous monitoring and apply insecticide if needed.,,22-Oct-24,1,2024
WS 2024,PPM-24-0065,October,II,Isabela,Echague,San Felipe,16.60125,121.6963,Banana,7/15/2023,1.5,Lakatan,Fruiting Stage,Mealy bug,1.5,0.12,8.33,9,,1.5,0,Advised farmers to conduct continuous monitoring and apply insecticide if needed.,,22-Oct-24,1,2024
WS 2024,PPM-24-0066,November,II,Quirino,Cabarroguis,Banuar,16.505172,121.563102,Coffee,5/24/2024,1,Robusta coffe,Fruiting Stage,Coffe Berry Disease,1,0.35,35,3,,0,0.35,Advised farmers to monitor the area reularly and spray Fungicide if needed.,,4-Nov-24,2,2024
