project_id,project_type,project_type_key,project_group,project_group_key,project_title,fund_source,source_agency,banner_program,year_funded,operating_unit,project_cost,beneficiary,quantity,province,district,municipality,barangay,ADM4_PCODE,ADM3_PCODE,ADM2_PCODE,match_status
ABEMIS0155,Farm-to-Market Road,abemis_farm_to_market_road_count,Farm-to-Market Roads,abemis_fmr,CONCRETING OF PADDAYA FMR,Farm to Market Road Development Program,DA - OSEC,Farm to Market Road Development Program,2021,Cagayan Valley (Region II),9101664.00,,0.64,Cagayan,1st District,Aparri,Paddaya,PH0201505033,PH0201505,PH02015,barangay_matched
ABEMIS0156,Farm-to-Market Road,abemis_farm_to_market_road_count,Farm-to-Market Roads,abemis_fmr,"Concreting of Sitio Anting-Sitio Model, Malasin FMR, Brgy. Malasin, Dupax Del Norte, Nueva Vizcaya",Farm to Market Road Development Program,DA - OSEC,Farm to Market Road Development Program,2017,Cagayan Valley (Region II),2729540.64,,0.32,Nueva Vizcaya,Nueva Vizcaya,Dupax del Norte,Malasin (Pob.),PH0205007013,PH0205007,PH02050,barangay_matched
ABEMIS0157,Farm-to-Market Road,abemis_farm_to_market_road_count,Farm-to-Market Roads,abemis_fmr,"Concreting of Lower Purok 4, Sto. Domingo West FMR, Brgy. Sto. Domingo, Bambang, Nueva Vizcaya",Farm to Market Road Development Program,DA - OSEC,Farm to Market Road Development Program,2017,Cagayan Valley (Region II),2861483.04,,0.43,Nueva Vizcaya,Nueva Vizcaya,Bambang,Santo Domingo West,PH0205004027,PH0205004,PH02050,barangay_matched
ABEMIS0158,Farm-to-Market Road,abemis_farm_to_market_road_count,Farm-to-Market Roads,abemis_fmr,Concreting of Sitio Tekeng - Batag FMR,Farm to Market Road Development Program,DA - OSEC,Farm to Market Road Development Program,2017,Cagayan Valley (Region II),1909549.21,,0.23,Nueva Vizcaya,Nueva Vizcaya,Ambaguio,Salingsingan,PH0205001008,PH0205001,PH02050,barangay_matched
ABEMIS0159,Farm-to-Market Road,abemis_farm_to_market_road_count,Farm-to-Market Roads,abemis_fmr,Concreting of Lower Ammoweg - Camandag FMR,Farm to Market Road Development Program,DA - OSEC,Farm to Market Road Development Program,2017,Cagayan Valley (Region II),1909029.36,,0.28,Nueva Vizcaya,Nueva Vizcaya,Ambaguio,Ammueg,,PH0205001,PH02050,barangay_unmatched
ABEMIS0160,Farm-to-Market Road,abemis_farm_to_market_road_count,Farm-to-Market Roads,abemis_fmr,"Concreting of a critical road section along Hamhamaan - Ginamgaman FMR, Brgy. Dulli, Ambaguio, Nueva Vizcaya",Farm to Market Road Development Program,DA - OSEC,Farm to Market Road Development Program,2017,Cagayan Valley (Region II),1909225.13,,0.26,Nueva Vizcaya,Nueva Vizcaya,Ambaguio,Dulli,PH0205001010,PH0205001,PH02050,barangay_matched
ABEMIS0161,Farm-to-Market Road,abemis_farm_to_market_road_count,Farm-to-Market Roads,abemis_fmr,"Concreting of Lurad FMR (Phase II), Brgy. Lurad, Diadi, Nueva Vizcaya",Farm to Market Road Development Program,DA - OSEC,Farm to Market Road Development Program,2017,Cagayan Valley (Region II),1908846.58,,0.58,Nueva Vizcaya,Nueva Vizcaya,Diadi,Lurad,PH0205006014,PH0205006,PH02050,barangay_matched
ABEMIS0162,Farm-to-Market Road,abemis_farm_to_market_road_count,Farm-to-Market Roads,abemis_fmr,Concreting of Brgy. Tiblac - Sitio Labbi FMR,Farm to Market Road Development Program,DA - OSEC,Farm to Market Road Development Program,2017,Cagayan Valley (Region II),1909575.76,,0.23,Nueva Vizcaya,Nueva Vizcaya,Ambaguio,Tiblac,PH0205001009,PH0205001,PH02050,barangay_matched
ABEMIS0163,Farm-to-Market Road,abemis_farm_to_market_road_count,Farm-to-Market Roads,abemis_fmr,CONCRETING OF NUEVA VIZCAYA AGRICULTURAL TERMINAL (NVAT) FMR,Farm to Market Road Development Program,DA - OSEC,Farm to Market Road Development Program,2016,Cagayan Valley (Region II),9952000.00,,1.23,Nueva Vizcaya,Nueva Vizcaya,Bambang,Almaguer North,PH0205004005,PH0205004,PH02050,barangay_matched
ABEMIS0164,Farm-to-Market Road,abemis_farm_to_market_road_count,Farm-to-Market Roads,abemis_fmr,"Concreting of Villa Aurora FMR, Brgy. Villa Aurora, Diadi, Nueva Vizcaya",Farm to Market Road Development Program,DA - OSEC,Farm to Market Road Development Program,2017,Cagayan Valley (Region II),1909346.58,,0.43,Nueva Vizcaya,Nueva Vizcaya,Diadi,Villa Aurora,PH0205006018,PH0205006,PH02050,barangay_matched
ABEMIS0165,Farm-to-Market Road,abemis_farm_to_market_road_count,Farm-to-Market Roads,abemis_fmr,Construction of Purok 7 FMR,Farm to Market Road Development Program,DA - OSEC,Farm to Market Road Development Program,2016,Cagayan Valley (Region II),1990000.00,,0.23,Nueva Vizcaya,Nueva Vizcaya,Kasibu,Tadji,PH0205009023,PH0205009,PH02050,barangay_matched
ABEMIS0166,Farm-to-Market Road,abemis_farm_to_market_road_count,Farm-to-Market Roads,abemis_fmr,Construction of Cabuaan FMR,Farm to Market Road Development Program,DA - OSEC,Farm to Market Road Development Program,2016,Cagayan Valley (Region II),1990000.00,,0.29,Nueva Vizcaya,Nueva Vizcaya,Bayombong (Capital),Cabuaan,PH0205005020,PH0205005,PH02050,barangay_matched
ABEMIS0167,Farm-to-Market Road,abemis_farm_to_market_road_count,Farm-to-Market Roads,abemis_fmr,Construction of Nampayakan FMR,Farm to Market Road Development Program,DA - OSEC,Farm to Market Road Development Program,2016,Cagayan Valley (Region II),1980000.00,,0.23,Nueva Vizcaya,Nueva Vizcaya,Solano,Quezon,PH0205013011,PH0205013,PH02050,barangay_matched
ABEMIS0168,Farm-to-Market Road,abemis_farm_to_market_road_count,Farm-to-Market Roads,abemis_fmr,"Concreting of Moreno, Sta. Lucia FMR, Brgy. Sta. Lucia, Bagabag, Nueva Vizcaya",Farm to Market Road Development Program,DA - OSEC,Farm to Market Road Development Program,2017,Cagayan Valley (Region II),1908420.34,,0.52,Nueva Vizcaya,Nueva Vizcaya,Bagabag,Sta. Lucia,PH0205003012,PH0205003,PH02050,barangay_matched
ABEMIS0169,Farm-to-Market Road,abemis_farm_to_market_road_count,Farm-to-Market Roads,abemis_fmr,CONCRETING OF CORDON PHASE II FMR,Farm to Market Road Development Program,DA - OSEC,Farm to Market Road Development Program,2017,Cagayan Valley (Region II),1818644.16,,0.40,Nueva Vizcaya,Nueva Vizcaya,Kasibu,Cordon,PH0205009009,PH0205009,PH02050,barangay_matched
ABEMIS0170,Farm-to-Market Road,abemis_farm_to_market_road_count,Farm-to-Market Roads,abemis_fmr,CONCRETING OF NANSIAKAN FMR,Farm to Market Road Development Program,DA - OSEC,Farm to Market Road Development Program,2017,Cagayan Valley (Region II),1843111.24,,0.42,Nueva Vizcaya,Nueva Vizcaya,Kayapa,Nansiakan,PH0205010015,PH0205010,PH02050,barangay_matched
ABEMIS0171,Farm-to-Market Road,abemis_farm_to_market_road_count,Farm-to-Market Roads,abemis_fmr,CONCRETING OF PUROK 7 CABUAAN FMR,Farm to Market Road Development Program,DA - OSEC,Farm to Market Road Development Program,2017,Cagayan Valley (Region II),1909385.55,,0.36,Nueva Vizcaya,Nueva Vizcaya,Bayombong (Capital),Cabuaan,PH0205005020,PH0205005,PH02050,barangay_matched
ABEMIS0172,Farm-to-Market Road,abemis_farm_to_market_road_count,Farm-to-Market Roads,abemis_fmr,"CONCRETING OF KAKILINGAN , BUENAVISTA FMR",,DA - OSEC,Farm to Market Road Development Program,2017,Cagayan Valley (Region II),1908178.53,,0.28,Nueva Vizcaya,Nueva Vizcaya,Bayombong (Capital),Buenavista (Vista Hills),PH0205005004,PH0205005,PH02050,barangay_matched
ABEMIS0173,Farm-to-Market Road,abemis_farm_to_market_road_count,Farm-to-Market Roads,abemis_fmr,"Concreting of Gumarueng FMR,Brgy. Gumarueng, Piat, Cagayan",Farm to Market Road Development Program,DA - OSEC,Farm to Market Road Development Program,2017,Cagayan Valley (Region II),1931995.63,,0.25,Cagayan,2nd District,Piat,Gumarueng,PH0201520004,PH0201520,PH02015,barangay_matched
ABEMIS0174,Farm-to-Market Road,abemis_farm_to_market_road_count,Farm-to-Market Roads,abemis_fmr,CONCRETING OF ABINGANAN- VILLALUZ FMR,Farm to Market Road Development Program,DA - OSEC,Farm to Market Road Development Program,2017,Cagayan Valley (Region II),1908659.31,,0.20,Nueva Vizcaya,Nueva Vizcaya,Bambang,Abinganan,PH0205004002,PH0205004,PH02050,barangay_matched
ABEMIS0175,Farm-to-Market Road,abemis_farm_to_market_road_count,Farm-to-Market Roads,abemis_fmr,"Construction of Tanap FMR, , Solano, Nueva Vizcaya",Farm to Market Road Development Program,DA - OSEC,Farm to Market Road Development Program,2016,Cagayan Valley (Region II),1990000.00,,0.43,Nueva Vizcaya,Nueva Vizcaya,Solano,Aggub,PH0205013001,PH0205013,PH02050,barangay_matched
ABEMIS0176,Farm-to-Market Road,abemis_farm_to_market_road_count,Farm-to-Market Roads,abemis_fmr,Construction of Purok 6 Sta. Rosa FMR,Farm to Market Road Development Program,DA - OSEC,Farm to Market Road Development Program,2016,Cagayan Valley (Region II),1980000.09,,0.40,Nueva Vizcaya,Nueva Vizcaya,Solano,Aggub,PH0205013001,PH0205013,PH02050,barangay_matched
ABEMIS0177,Farm-to-Market Road,abemis_farm_to_market_road_count,Farm-to-Market Roads,abemis_fmr,Construction of Acio FMR,Farm to Market Road Development Program,DA - OSEC,Farm to Market Road Development Program,2016,Cagayan Valley (Region II),1990000.00,,0.35,Nueva Vizcaya,Nueva Vizcaya,Solano,Aggub,PH0205013001,PH0205013,PH02050,barangay_matched
ABEMIS0178,Farm-to-Market Road,abemis_farm_to_market_road_count,Farm-to-Market Roads,abemis_fmr,"Concreting of Takiki FMR, Brgy. Takiki, Gattaran, Cagayan",Farm to Market Road Development Program,DA - OSEC,Farm to Market Road Development Program,2017,Cagayan Valley (Region II),2835750.00,,0.40,Cagayan,1st District,Gattaran,Takiki,PH0201513049,PH0201513,PH02015,barangay_matched
ABEMIS0179,Farm-to-Market Road,abemis_farm_to_market_road_count,Farm-to-Market Roads,abemis_fmr,"Concreting of Lusong (Phase 2) Pateng FMR, Brgy. Pateng, Gonzaga, Cagayan",Farm to Market Road Development Program,DA - OSEC,Farm to Market Road Development Program,2017,Cagayan Valley (Region II),5700872.50,,0.47,Cagayan,1st District,Gonzaga,Pateng,PH0201514018,PH0201514,PH02015,barangay_matched
ABEMIS0180,Farm-to-Market Road,abemis_farm_to_market_road_count,Farm-to-Market Roads,abemis_fmr,Construction of Purok 2-Purok 7 FMR,Farm to Market Road Development Program,DA - OSEC,Farm to Market Road Development Program,2016,Cagayan Valley (Region II),1990000.00,,0.27,Nueva Vizcaya,Nueva Vizcaya,Solano,Curifang,PH0205013005,PH0205013,PH02050,barangay_matched
ABEMIS0181,Farm-to-Market Road,abemis_farm_to_market_road_count,Farm-to-Market Roads,abemis_fmr,"Concreting of Minanga FMR, Brgy. Minanga, Camalaniugan, Cagayan",Farm to Market Road Development Program,DA - OSEC,Farm to Market Road Development Program,2017,Cagayan Valley (Region II),1899877.00,,0.18,Cagayan,1st District,Camalaniugan,Minanga,PH0201510021,PH0201510,PH02015,barangay_matched
ABEMIS0182,Farm-to-Market Road,abemis_farm_to_market_road_count,Farm-to-Market Roads,abemis_fmr,"Concreting of Purok- Papaya Remus FMR, Brgy. Remus, Baggao, Cagayan",Farm to Market Road Development Program,DA - OSEC,Farm to Market Road Development Program,2017,Cagayan Valley (Region II),9452500.00,,0.90,Cagayan,1st District,Baggao,Remus,PH0201506031,PH0201506,PH02015,barangay_matched
ABEMIS0183,Farm-to-Market Road,abemis_farm_to_market_road_count,Farm-to-Market Roads,abemis_fmr,"CONCRETING OF SITIO ÑARAWATAN - SITIO PINVATAVATASAN,STA. ROSA FMR ( GAA 2019 FCR)",Farm to Market Road Development Program,DA - OSEC,Farm to Market Road Development Program,2019,Cagayan Valley (Region II),4966467.86,,0.44,Batanes,Batanes,Itbayat,Santa Rosa (Kaynatuan),PH0200902010,PH0200902,PH02009,barangay_matched
ABEMIS0184,Farm-to-Market Road,abemis_farm_to_market_road_count,Farm-to-Market Roads,abemis_fmr,"Concreting/Improvement of Paddaya FMR (Phase II), Brgy. Paddaya , Aparri, Cagayan",Farm to Market Road Development Program,DA - OSEC,Farm to Market Road Development Program,2017,Cagayan Valley (Region II),9501772.50,,0.50,Cagayan,1st District,Aparri,Backiling,PH0201505001,PH0201505,PH02015,barangay_matched
ABEMIS0185,Farm-to-Market Road,abemis_farm_to_market_road_count,Farm-to-Market Roads,abemis_fmr,"Concreting of Capiddigan FMR, Brgy. Capiddigan, Gattaran, Cagayan",Farm to Market Road Development Program,DA - OSEC,Farm to Market Road Development Program,2017,Cagayan Valley (Region II),2835750.00,,0.45,Cagayan,1st District,Gattaran,Capiddigan,PH0201513014,PH0201513,PH02015,barangay_matched
ABEMIS0186,Farm-to-Market Road,abemis_farm_to_market_road_count,Farm-to-Market Roads,abemis_fmr,"CONCRETING OF SITIO DIPTAN - SITIO SUMAKEB, KAYUGANAN FMR ( GAA 2019 FCR)",Farm to Market Road Development Program,DA - OSEC,Farm to Market Road Development Program,2019,Cagayan Valley (Region II),4662822.65,,0.13,Batanes,Batanes,Uyugan,Kayuganan (Pob.),PH0200906004,PH0200906,PH02009,barangay_matched
ABEMIS0187,Farm-to-Market Road,abemis_farm_to_market_road_count,Farm-to-Market Roads,abemis_fmr,"CONCRETING OF SITIO PAKARAYAN - SITIO TAÑUD - SITIO VUCHID, UVOY FMR ( GAA 2019 FCR)",Farm to Market Road Development Program,DA - OSEC,Farm to Market Road Development Program,2019,Cagayan Valley (Region II),4702500.00,,0.35,Batanes,Batanes,Mahatao,Uvoy (Pob.),PH0200904004,PH0200904,PH02009,barangay_matched
ABEMIS0188,Farm-to-Market Road,abemis_farm_to_market_road_count,Farm-to-Market Roads,abemis_fmr,"Concreting of Sapping FMR Brgy. Sapping, Camalaniugan, Cagayan",Farm to Market Road Development Program,DA - OSEC,Farm to Market Road Development Program,2017,Cagayan Valley (Region II),2835750.00,,0.41,Cagayan,1st District,Camalaniugan,Sapping,PH0201510029,PH0201510,PH02015,barangay_matched
ABEMIS0189,Farm-to-Market Road,abemis_farm_to_market_road_count,Farm-to-Market Roads,abemis_fmr,"CONCRETING OF SITIO TUVA - SITIO RUDAW, SAN JOAQUIN FMR ( GAA 2019 FCR)",Farm to Market Road Development Program,DA - OSEC,Farm to Market Road Development Program,2019,Cagayan Valley (Region II),4901631.36,,0.43,Batanes,Batanes,Basco (Capital),San Joaquin,PH0200901004,PH0200901,PH02009,barangay_matched
ABEMIS0190,Farm-to-Market Road,abemis_farm_to_market_road_count,Farm-to-Market Roads,abemis_fmr,"CONCRETING OF SITIO VAKAHAS - SITIO DIBTANGAN,SAN ANTONIO FMR ( GAA 2019 FCR)",Farm to Market Road Development Program,DA - OSEC,Farm to Market Road Development Program,2019,Cagayan Valley (Region II),4467723530.00,,0.36,Batanes,Batanes,Basco (Capital),San Antonio,PH0200901003,PH0200901,PH02009,barangay_matched
ABEMIS0191,Farm-to-Market Road,abemis_farm_to_market_road_count,Farm-to-Market Roads,abemis_fmr,Construction of Purok 2 Kasantolan FMR,Farm to Market Road Development Program,DA - OSEC,Farm to Market Road Development Program,2016,Cagayan Valley (Region II),1990000.00,,0.40,Nueva Vizcaya,Nueva Vizcaya,Solano,Bascaran,PH0205013004,PH0205013,PH02050,barangay_matched
ABEMIS0192,Farm-to-Market Road,abemis_farm_to_market_road_count,Farm-to-Market Roads,abemis_fmr,"Concreting of Tagumay FMR, Brgy. Tagumay, Gattaran, Cagayan",Farm to Market Road Development Program,DA - OSEC,Farm to Market Road Development Program,2017,Cagayan Valley (Region II),2835750.00,,0.28,Cagayan,1st District,Gattaran,Abra,PH0201513001,PH0201513,PH02015,barangay_matched
ABEMIS0193,Farm-to-Market Road,abemis_farm_to_market_road_count,Farm-to-Market Roads,abemis_fmr,"Concreting of Cabayu FMR, Brgy.Cabayu, Gattaran, Cagayan",Farm to Market Road Development Program,DA - OSEC,Farm to Market Road Development Program,2017,Cagayan Valley (Region II),2835750.00,,0.20,Cagayan,1st District,Gattaran,Cabayu,PH0201513011,PH0201513,PH02015,barangay_matched
ABEMIS0194,Farm-to-Market Road,abemis_farm_to_market_road_count,Farm-to-Market Roads,abemis_fmr,CONCRETING OF IFUGAO VILLAGE FMR ( GAA 2019 FLR),Farm to Market Road Development Program,DA - OSEC,Farm to Market Road Development Program,2019,Cagayan Valley (Region II),4996392.34,,0.43,Quirino,Quirino,Diffun,Ifugao Village,PH0205703016,PH0205703,PH02057,barangay_matched
ABEMIS0195,Farm-to-Market Road,abemis_farm_to_market_road_count,Farm-to-Market Roads,abemis_fmr,Construction of NFA-Kateppangan FMR (Phase 2),Farm to Market Road Development Program,DA - OSEC,Farm to Market Road Development Program,2016,Cagayan Valley (Region II),1990000.00,,0.45,Nueva Vizcaya,Nueva Vizcaya,Bagabag,Villaros,PH0205003017,PH0205003,PH02050,barangay_matched
ABEMIS0196,Farm-to-Market Road,abemis_farm_to_market_road_count,Farm-to-Market Roads,abemis_fmr,"Concreting of Nagatutuan FMR, Brgy. Nagatutuan, Gattaran, Cagayan",Farm to Market Road Development Program,DA - OSEC,Farm to Market Road Development Program,2017,Cagayan Valley (Region II),2363125.00,,0.29,Cagayan,1st District,Gattaran,Nagatutuan,PH0201513037,PH0201513,PH02015,barangay_matched
ABEMIS0197,Farm-to-Market Road,abemis_farm_to_market_road_count,Farm-to-Market Roads,abemis_fmr,CONCRETING OF LAPAZ - SALVACION FMR ( GAA 2019 FCR),Farm to Market Road Development Program,DA - OSEC,Farm to Market Road Development Program,2019,Cagayan Valley (Region II),4825992.92,,0.58,Quirino,Quirino,Saguday,La Paz,PH0205705002,PH0205705,PH02057,barangay_matched
ABEMIS0198,Farm-to-Market Road,abemis_farm_to_market_road_count,Farm-to-Market Roads,abemis_fmr,CONCRETING OF VILLA PEÑA FMR ( GAA 2019 FCR),Farm to Market Road Development Program,DA - OSEC,Farm to Market Road Development Program,2019,Cagayan Valley (Region II),4999956.23,,0.44,Quirino,Quirino,Cabarroguis (Capital),Banuar,PH0205702001,PH0205702,PH02057,barangay_matched
ABEMIS0199,Farm-to-Market Road,abemis_farm_to_market_road_count,Farm-to-Market Roads,abemis_fmr,Construction of Nueva Vizcaya Experimental Station Road Network,Farm to Market Road Development Program,DA - OSEC,Farm to Market Road Development Program,2016,Cagayan Valley (Region II),2985000.00,,0.38,Nueva Vizcaya,Nueva Vizcaya,Bagabag,Villaros,PH0205003017,PH0205003,PH02050,barangay_matched
ABEMIS0200,Farm-to-Market Road,abemis_farm_to_market_road_count,Farm-to-Market Roads,abemis_fmr,CONCRETING OF MANGANDINGAY FMR ( GAA 2019 FCR),Farm to Market Road Development Program,DA - OSEC,Farm to Market Road Development Program,2019,Cagayan Valley (Region II),4999980.36,,0.60,Quirino,Quirino,Cabarroguis (Capital),Mangandingay (Pob.),PH0205702008,PH0205702,PH02057,barangay_matched
ABEMIS0201,Farm-to-Market Road,abemis_farm_to_market_road_count,Farm-to-Market Roads,abemis_fmr,Concreting of Sitio Tuyungan FMR,Farm to Market Road Development Program,DA - OSEC,Farm to Market Road Development Program,2016,Cagayan Valley (Region II),1990000.00,,0.25,Nueva Vizcaya,Nueva Vizcaya,Kayapa,Kayapa Proper West,PH0205010013,PH0205010,PH02050,barangay_matched
ABEMIS0202,Farm-to-Market Road,abemis_farm_to_market_road_count,Farm-to-Market Roads,abemis_fmr,Concreting of Brgy. Besong - Amelong - Labeng FMR,Farm to Market Road Development Program,DA - OSEC,Farm to Market Road Development Program,2016,Cagayan Valley (Region II),2489000.00,,0.55,Nueva Vizcaya,Nueva Vizcaya,Kayapa,Besong,PH0205010009,PH0205010,PH02050,barangay_matched
ABEMIS0203,Farm-to-Market Road,abemis_farm_to_market_road_count,Farm-to-Market Roads,abemis_fmr,"CONCRETING OF SITIO SALICPAN, SALINAS FMR PHASE II ( GAA 2019 FLR)",Farm to Market Road Development Program,DA - OSEC,Farm to Market Road Development Program,2019,Cagayan Valley (Region II),9950000.00,,1.00,Nueva Vizcaya,Nueva Vizcaya,Bambang,Salinas,PH0205004018,PH0205004,PH02050,barangay_matched
ABEMIS0204,Farm-to-Market Road,abemis_farm_to_market_road_count,Farm-to-Market Roads,abemis_fmr,Concreting/Improvement of Asaklat FMR,Farm to Market Road Development Program,DA - OSEC,Farm to Market Road Development Program,2016,Cagayan Valley (Region II),4975000.00,,0.50,Quirino,Quirino,Nagtipunan,Asaklat,PH0205706016,PH0205706,PH02057,barangay_matched
ABEMIS0205,Farm-to-Market Road,abemis_farm_to_market_road_count,Farm-to-Market Roads,abemis_fmr,"CONCRETING OF SITIO KAKILINGAN, BUENAVISTA FMR PHASE II ( GAA 2019 FLR)",Farm to Market Road Development Program,DA - OSEC,Farm to Market Road Development Program,2019,Cagayan Valley (Region II),4975000.00,,0.50,Nueva Vizcaya,Nueva Vizcaya,Bayombong (Capital),Buenavista (Vista Hills),PH0205005004,PH0205005,PH02050,barangay_matched
ABEMIS0206,Farm-to-Market Road,abemis_farm_to_market_road_count,Farm-to-Market Roads,abemis_fmr,"Concreting/Improvement of Sitio Divinsin, San Dionisio II FMR",Farm to Market Road Development Program,DA - OSEC,Farm to Market Road Development Program,2016,Cagayan Valley (Region II),4975000.00,,0.58,Quirino,Quirino,Nagtipunan,San Dionisio II,PH0205706011,PH0205706,PH02057,barangay_matched
ABEMIS0207,Farm-to-Market Road,abemis_farm_to_market_road_count,Farm-to-Market Roads,abemis_fmr,CONCRETING OF MALASIN FMR ( GAA 2019 FLR),Farm to Market Road Development Program,DA - OSEC,Farm to Market Road Development Program,2019,Cagayan Valley (Region II),7960000.00,,1.07,Nueva Vizcaya,Nueva Vizcaya,Dupax del Norte,Malasin (Pob.),PH0205007013,PH0205007,PH02050,barangay_matched
ABEMIS0208,Farm-to-Market Road,abemis_farm_to_market_road_count,Farm-to-Market Roads,abemis_fmr,Concreting/Improvement of Dumabato FMR,Farm to Market Road Development Program,DA - OSEC,Farm to Market Road Development Program,2016,Cagayan Valley (Region II),1990000.00,,0.30,Quirino,Quirino,Maddela,Dumabato Sur,PH0205704013,PH0205704,PH02057,barangay_matched
ABEMIS0209,Farm-to-Market Road,abemis_farm_to_market_road_count,Farm-to-Market Roads,abemis_fmr,CONCRETING OF BINALIAN FMR ( GAA 2019 FLR),Farm to Market Road Development Program,DA - OSEC,Farm to Market Road Development Program,2019,Cagayan Valley (Region II),4975000.00,,0.60,Nueva Vizcaya,Nueva Vizcaya,Kayapa,Binalian,PH0205010008,PH0205010,PH02050,barangay_matched
ABEMIS0210,Farm-to-Market Road,abemis_farm_to_market_road_count,Farm-to-Market Roads,abemis_fmr,Concreting/Improvement of Balligui FMR,Farm to Market Road Development Program,DA - OSEC,Farm to Market Road Development Program,2016,Cagayan Valley (Region II),1990000.00,,0.23,Quirino,Quirino,Maddela,Balligui,PH0205704003,PH0205704,PH02057,barangay_matched
ABEMIS0211,Farm-to-Market Road,abemis_farm_to_market_road_count,Farm-to-Market Roads,abemis_fmr,CONCRETING OF KAYAPA PROPER WEST FMR ( GAA 2019 FLR),Farm to Market Road Development Program,DA - OSEC,Farm to Market Road Development Program,2019,Cagayan Valley (Region II),4975000.00,,0.47,Nueva Vizcaya,Nueva Vizcaya,Kayapa,Kayapa Proper West,PH0205010013,PH0205010,PH02050,barangay_matched
ABEMIS0212,Farm-to-Market Road,abemis_farm_to_market_road_count,Farm-to-Market Roads,abemis_fmr,Concreting of Brgy. Siguem School Site FMR,Farm to Market Road Development Program,DA - OSEC,Farm to Market Road Development Program,2016,Cagayan Valley (Region II),2489000.00,,0.49,Nueva Vizcaya,Nueva Vizcaya,Kasibu,Seguem,,PH0205009,PH02050,barangay_unmatched
ABEMIS0213,Farm-to-Market Road,abemis_farm_to_market_road_count,Farm-to-Market Roads,abemis_fmr,Concreting/Improvement of La Paz FMR,Farm to Market Road Development Program,DA - OSEC,Farm to Market Road Development Program,2016,Cagayan Valley (Region II),1990000.00,,0.24,Quirino,Quirino,Saguday,La Paz,PH0205705002,PH0205705,PH02057,barangay_matched
ABEMIS0214,Farm-to-Market Road,abemis_farm_to_market_road_count,Farm-to-Market Roads,abemis_fmr,Concreting/Improvement of Magsaysay FMR,Farm to Market Road Development Program,DA - OSEC,Farm to Market Road Development Program,2016,Cagayan Valley (Region II),1990000.00,,0.28,Quirino,Quirino,Saguday,Magsaysay (Pob.),PH0205705003,PH0205705,PH02057,barangay_matched
ABEMIS0215,Farm-to-Market Road,abemis_farm_to_market_road_count,Farm-to-Market Roads,abemis_fmr,"Concreting of Lower Sese, Brgy. Pudi FMR",Farm to Market Road Development Program,DA - OSEC,Farm to Market Road Development Program,2016,Cagayan Valley (Region II),1990000.00,,0.34,Nueva Vizcaya,Nueva Vizcaya,Kasibu,Pudi,PH0205009020,PH0205009,PH02050,barangay_matched
ABEMIS0216,Farm-to-Market Road,abemis_farm_to_market_road_count,Farm-to-Market Roads,abemis_fmr,"CONCRETING OF SISIM, VILLA COLOMA FMR ( GAA 2019 FCR)",Farm to Market Road Development Program,DA - OSEC,Farm to Market Road Development Program,2019,Cagayan Valley (Region II),4975000.00,,0.55,Nueva Vizcaya,Nueva Vizcaya,Bagabag,Villa Coloma (Pob.),PH0205003015,PH0205003,PH02050,barangay_matched
ABEMIS0217,Farm-to-Market Road,abemis_farm_to_market_road_count,Farm-to-Market Roads,abemis_fmr,Concreting/Improvement of Quirino Experiment Station FMR,Farm to Market Road Development Program,DA - OSEC,Farm to Market Road Development Program,2016,Cagayan Valley (Region II),2985000.00,,0.40,Quirino,Quirino,Aglipay,Dungo,,PH0205701,PH02057,barangay_unmatched
ABEMIS0218,Farm-to-Market Road,abemis_farm_to_market_road_count,Farm-to-Market Roads,abemis_fmr,CONCRETING OF CALIAT FMR ( GAA 2019 FCR),Farm to Market Road Development Program,DA - OSEC,Farm to Market Road Development Program,2019,Cagayan Valley (Region II),4975000.00,,0.50,Nueva Vizcaya,Nueva Vizcaya,Quezon,Caliat (Pob.),PH0205011006,PH0205011,PH02050,barangay_matched
ABEMIS0219,Farm-to-Market Road,abemis_farm_to_market_road_count,Farm-to-Market Roads,abemis_fmr,Concreting of Brgy.Alloy FMR,Farm to Market Road Development Program,DA - OSEC,Farm to Market Road Development Program,2016,Cagayan Valley (Region II),1990000.00,,0.41,Nueva Vizcaya,Nueva Vizcaya,Kasibu,Alloy,PH0205009029,PH0205009,PH02050,barangay_matched
ABEMIS0220,Farm-to-Market Road,abemis_farm_to_market_road_count,Farm-to-Market Roads,abemis_fmr,CONCRETING OF MANGGAYANG FMR ( GAA 2019 FCR),Farm to Market Road Development Program,DA - OSEC,Farm to Market Road Development Program,2019,Cagayan Valley (Region II),4793413.24,,0.52,Nueva Vizcaya,Nueva Vizcaya,Dupax del Sur,Mangayang,PH0205008011,PH0205008,PH02050,barangay_matched
ABEMIS0221,Farm-to-Market Road,abemis_farm_to_market_road_count,Farm-to-Market Roads,abemis_fmr,CONCRETING OF LATBANG FMR ( GAA 2019 FCR),Farm to Market Road Development Program,DA - OSEC,Farm to Market Road Development Program,2019,Cagayan Valley (Region II),4793413.24,,0.55,Nueva Vizcaya,Nueva Vizcaya,Kayapa,Latbang,PH0205010028,PH0205010,PH02050,barangay_matched
ABEMIS0222,Farm-to-Market Road,abemis_farm_to_market_road_count,Farm-to-Market Roads,abemis_fmr,Concreting/Improvement of Ramos FMR,Farm to Market Road Development Program,DA - OSEC,Farm to Market Road Development Program,2016,Cagayan Valley (Region II),1990000.00,,0.28,Quirino,Quirino,Aglipay,Ramos,PH0205701009,PH0205701,PH02057,barangay_matched
