facility_id,facility_name,facility_type,province,district,municipality,barangay,latitude,longitude,status,capacity,service_area_ha,project_amount,year_constructed,farmer_beneficiaries,banner_program,remarks
ABEMIS0001,Poultry House,ABEMIS_LIVESTOCK,Cagayan,2nd District,Piat,Baung,,,National Urban and Peri-Urban Agriculture Program,1.00,,0.00,2025,,National Urban and Peri-Urban Agriculture Program,Project Group: Livestock Facilities | Project Type: Chicken Housing | Beneficiary: Cagayan State University - Piat
ABEMIS0501,"Concreting of Brgy. Buena Suerte FMR, Brgy. Buena Suerte, Cauayan City, Isabela",ABEMIS_FMR,Isabela,6th District,City of Cauayan,Buena Suerte,,,Farm to Market Road Development Program,0.67,,10326575.80,2024,,Farm to Market Road Development Program,Project Group: Farm-to-Market Roads | Project Type: Farm-to-Market Road | Beneficiary: 
ABEMIS0502,"Concreting of Brgy. Cabugao FMR Phase II, Brgy. Cabugao, Cauayan City, Isabela",ABEMIS_FMR,Isabela,6th District,City of Cauayan,Cabugao,,,Farm to Market Road Development Program,1.00,,14924176.63,2024,,Farm to Market Road Development Program,Project Group: Farm-to-Market Roads | Project Type: Farm-to-Market Road | Beneficiary: 
ABEMIS0503,Concreting of Sto. Niño FMR,ABEMIS_FMR,Cagayan,2nd District,Claveria,Santo Ni?o (Barbarnis),,,Farm to Market Road Development Program,1.03,,14842646.57,2021,,Farm to Market Road Development Program,Project Group: Farm-to-Market Roads | Project Type: Farm-to-Market Road | Beneficiary: 
ABEMIS0504,"Concreting of Brgy. Ubong Solana to Brgy. San Antonio, Enrile FMR, Brgy. Ubong, Solana and Brgy. San Antonio, Enrile, Cagayan",ABEMIS_FMR,Cagayan,3rd District,Enrile,San Antonio,,,Farm to Market Road Development Program,1.00,,14823453.00,2024,,Farm to Market Road Development Program,Project Group: Farm-to-Market Roads | Project Type: Farm-to-Market Road | Beneficiary: 
ABEMIS0505,"Concreting of Wangal FMR, Brgy. Wangal, Kasibu, Nueva Vizcaya",ABEMIS_FMR,Nueva Vizcaya,Nueva Vizcaya,Kasibu,Wangal,,,Farm to Market Road Development Program,1.00,,14924994.73,2024,,Farm to Market Road Development Program,Project Group: Farm-to-Market Roads | Project Type: Farm-to-Market Road | Beneficiary: 
ABEMIS0506,Concreting of Mabuttal to Baran FMR,ABEMIS_FMR,Cagayan,2nd District,Ballesteros,Mabuttal West;Baran,,,Farm to Market Road Development Program,2.00,,19756514.63,2021,,Farm to Market Road Development Program,Project Group: Farm-to-Market Roads | Project Type: Farm-to-Market Road | Beneficiary: 
ABEMIS0507,"Concreting of Brgy. Nagrumbuan to Brgy. Pinoma FMR Section II, Brgy. Nagrumbuan and Brgy. Pinoma, Cauayan City, Isabela",ABEMIS_FMR,Isabela,6th District,City of Cauayan,Nagrumbuan;Marabulig II,,,Farm to Market Road Development Program,0.67,,9899999.99,2024,,Farm to Market Road Development Program,Project Group: Farm-to-Market Roads | Project Type: Farm-to-Market Road | Beneficiary: 
ABEMIS0508,"Concreting of Nagrumbuan - Pinoma FMR, Brgy. Nagrumbuan and Brgy. Pinoma,Cauayan City, Isabela",ABEMIS_FMR,Isabela,6th District,City of Cauayan,Nagrumbuan;Marabulig II,,,Farm to Market Road Development Program,1.33,,19834901.98,2024,,Farm to Market Road Development Program,Project Group: Farm-to-Market Roads | Project Type: Farm-to-Market Road | Beneficiary: 
ABEMIS0509,Concreting of Brgy. Langagan to Bacsay to Bacsay FMR,ABEMIS_FMR,Cagayan,2nd District,Sanchez Mira,Langagan,,,Farm to Market Road Development Program,2.20,,19871816.44,2021,,Farm to Market Road Development Program,Project Group: Farm-to-Market Roads | Project Type: Farm-to-Market Road | Beneficiary: 
ABEMIS0510,"Concreting of Brgy. Marabulig to Brgy. Nagrumbuan FMR, Brgy. Marabulig and Brgy. Nagrumbuan, Cauayan City, Isabela",ABEMIS_FMR,Isabela,6th District,City of Cauayan,Marabulig II;Marabulig II,,,Farm to Market Road Development Program,0.67,,9899999.99,2024,,Farm to Market Road Development Program,Project Group: Farm-to-Market Roads | Project Type: Farm-to-Market Road | Beneficiary: 
ABEMIS0511,Concreting of Brgy. Minanga Sur FMR,ABEMIS_FMR,Cagayan,2nd District,Lasam,Minanga Sur,,,Farm to Market Road Development Program,1.40,,24828560.98,2021,,Farm to Market Road Development Program,Project Group: Farm-to-Market Roads | Project Type: Farm-to-Market Road | Beneficiary: 
ABEMIS0512,"Concreting of Brgy. Dianao FMR, Brgy. Dianao, Cauayan City, Isabela",ABEMIS_FMR,Isabela,6th District,City of Cauayan,Marabulig II,,,Farm to Market Road Development Program,1.00,,14924253.31,2024,,Farm to Market Road Development Program,Project Group: Farm-to-Market Roads | Project Type: Farm-to-Market Road | Beneficiary: 
ABEMIS0513,"Concreting of Brgy. Manaoag FMR, Brgy. Manaoag, Cauayan City, Isabela",ABEMIS_FMR,Isabela,6th District,City of Cauayan,Marabulig II,,,Farm to Market Road Development Program,1.33,,19898276.14,2024,,Farm to Market Road Development Program,Project Group: Farm-to-Market Roads | Project Type: Farm-to-Market Road | Beneficiary: 
ABEMIS0514,Concreting of Sitio Kaigorotan to Brgy. Cabatacan West FMR,ABEMIS_FMR,Cagayan,2nd District,Lasam,Cabatacan West,,,Farm to Market Road Development Program,2.19,,29849828.80,2021,,Farm to Market Road Development Program,Project Group: Farm-to-Market Roads | Project Type: Farm-to-Market Road | Beneficiary: 
ABEMIS0515,"Concreting of Brgy. Minante 1 FMR, Brgy. Minante 1, Cauayan City, Isabela",ABEMIS_FMR,Isabela,6th District,City of Cauayan,Minante I,,,Farm to Market Road Development Program,1.00,,14701072.76,2024,,Farm to Market Road Development Program,Project Group: Farm-to-Market Roads | Project Type: Farm-to-Market Road | Beneficiary: 
ABEMIS0516,"Concreting of Brgy. Minante 2 FMR Phase II, Brgy. Minante 2, Cauayan City, Isabela",ABEMIS_FMR,Isabela,6th District,City of Cauayan,Minante II,,,Farm to Market Road Development Program,1.00,,14701077.88,2024,,Farm to Market Road Development Program,Project Group: Farm-to-Market Roads | Project Type: Farm-to-Market Road | Beneficiary: 
ABEMIS0517,Concreting of Brgy. Finugo Norte FMR,ABEMIS_FMR,Cagayan,2nd District,Lasam,Finugo Norte,,,Farm to Market Road Development Program,1.60,,19900014.97,2021,,Farm to Market Road Development Program,Project Group: Farm-to-Market Roads | Project Type: Farm-to-Market Road | Beneficiary: 
ABEMIS0518,Concreting of Brgy. Liwan Sur FMR,ABEMIS_FMR,Cagayan,3rd District,Enrile,Liwan Sur,,,Farm to Market Road Development Program,1.00,,11943716.14,2021,,Farm to Market Road Development Program,Project Group: Farm-to-Market Roads | Project Type: Farm-to-Market Road | Beneficiary: 
ABEMIS0519,Concreting of Brgy. Flourishing FMR,ABEMIS_FMR,Cagayan,1st District,Gonzaga,Flourishing (Pob.),,,Farm to Market Road Development Program,1.07,,9154511.31,2021,,Farm to Market Road Development Program,Project Group: Farm-to-Market Roads | Project Type: Farm-to-Market Road | Beneficiary: 
ABEMIS0520,"Concreting of Brgy. Balagbag FMR, Brgy. Balagbag, Diffun, Quirino",ABEMIS_FMR,Quirino,Quirino,Diffun,Balagbag,,,Farm to Market Road Development Program,1.00,,14477169.08,2024,,Farm to Market Road Development Program,Project Group: Farm-to-Market Roads | Project Type: Farm-to-Market Road | Beneficiary: 
ABEMIS0521,"Concreting of Brgy. Dumanisi FMR, Brgy. Dumanisi, Diffun, Quirino",ABEMIS_FMR,Quirino,Quirino,Diffun,Dumanisi,,,Farm to Market Road Development Program,0.33,,4972537.24,2024,,Farm to Market Road Development Program,Project Group: Farm-to-Market Roads | Project Type: Farm-to-Market Road | Beneficiary: 
ABEMIS0522,Concreting of Brgy. Naganacan FMR Phase 1,ABEMIS_FMR,Isabela,1st District,Santa Maria,Naganacan,,,Farm to Market Road Development Program,1.00,,23640724.90,2021,,Farm to Market Road Development Program,Project Group: Farm-to-Market Roads | Project Type: Farm-to-Market Road | Beneficiary: 
ABEMIS0523,"Concreting of Sitio Nagbarakalan to Mt. Hamut, Brgy. Simanu Norte FMR",ABEMIS_FMR,Isabela,1st District,San Pablo,Simanu Norte,,,Farm to Market Road Development Program,1.00,,12270996.75,2021,,Farm to Market Road Development Program,Project Group: Farm-to-Market Roads | Project Type: Farm-to-Market Road | Beneficiary: 
ABEMIS0524,Concreting of Brgy. San Rafael Alto FMR,ABEMIS_FMR,Isabela,1st District,Santo Tomas,San Rafael Alto,,,Farm to Market Road Development Program,1.00,,11834252.05,2021,,Farm to Market Road Development Program,Project Group: Farm-to-Market Roads | Project Type: Farm-to-Market Road | Beneficiary: 
ABEMIS0525,Concreting of Brgy. Liwanag FMR Phase 2,ABEMIS_FMR,Isabela,1st District,Tumauini,Liwanag,,,Farm to Market Road Development Program,1.00,,9999999999.99,2021,,Farm to Market Road Development Program,Project Group: Farm-to-Market Roads | Project Type: Farm-to-Market Road | Beneficiary: 
ABEMIS0526,Concreting of Brgy. Cumabao FMR,ABEMIS_FMR,Isabela,1st District,Tumauini,Cumabao,,,Farm to Market Road Development Program,1.00,,12311541.00,2021,,Farm to Market Road Development Program,Project Group: Farm-to-Market Roads | Project Type: Farm-to-Market Road | Beneficiary: 
ABEMIS0527,Concreting of Brgy. Namnama to Brgy. Antagan II FMR,ABEMIS_FMR,Isabela,1st District,Tumauini,Namnama;Antagan II,,,Farm to Market Road Development Program,1.00,,11820592.87,2021,,Farm to Market Road Development Program,Project Group: Farm-to-Market Roads | Project Type: Farm-to-Market Road | Beneficiary: 
ABEMIS0528,Concreting of Brgy. Lapogan to Sto. Niño FMR,ABEMIS_FMR,Isabela,1st District,Tumauini,Lapogan;Santo Niño,,,Farm to Market Road Development Program,1.00,,11818840.47,2021,,Farm to Market Road Development Program,Project Group: Farm-to-Market Roads | Project Type: Farm-to-Market Road | Beneficiary: 
ABEMIS0529,"Concreting of Brgy. Gulac FMR, Brgy. Gulac, Diffun, Quirino",ABEMIS_FMR,Quirino,Quirino,Diffun,Gulac,,,Farm to Market Road Development Program,0.33,,4969584.82,2024,,Farm to Market Road Development Program,Project Group: Farm-to-Market Roads | Project Type: Farm-to-Market Road | Beneficiary: 
ABEMIS0530,Concreting of Brgy. Sisim Abajo FMR,ABEMIS_FMR,Isabela,1st District,Tumauini,Sisim Abajo,,,Farm to Market Road Development Program,1.00,,11817497.88,2021,,Farm to Market Road Development Program,Project Group: Farm-to-Market Roads | Project Type: Farm-to-Market Road | Beneficiary: 
ABEMIS0531,Concreting of Brgy. Sto Tomas FMR,ABEMIS_FMR,Isabela,2nd District,Naguilian,Santo Tomas,,,Farm to Market Road Development Program,1.00,,11807169.28,2021,,Farm to Market Road Development Program,Project Group: Farm-to-Market Roads | Project Type: Farm-to-Market Road | Beneficiary: 
ABEMIS0532,Concreting of Brgy. Quinalabasa to Brgy. Manaring FMR,ABEMIS_FMR,Isabela,2nd District,Naguilian,Quinalabasa;Manaring,,,Farm to Market Road Development Program,1.24,,11578894.81,2021,,Farm to Market Road Development Program,Project Group: Farm-to-Market Roads | Project Type: Farm-to-Market Road | Beneficiary: 
ABEMIS0533,"Concreting of Purok 6, Brgy. Dangan FMR Phase 2",ABEMIS_FMR,Isabela,2nd District,Reina Mercedes,Dangan,,,Farm to Market Road Development Program,1.00,,11783208.94,2021,,Farm to Market Road Development Program,Project Group: Farm-to-Market Roads | Project Type: Farm-to-Market Road | Beneficiary: 
ABEMIS0534,Concreting of Brgy. Santor FMR,ABEMIS_FMR,Isabela,2nd District,Reina Mercedes,Dangan,,,Farm to Market Road Development Program,1.00,,11649111.65,2021,,Farm to Market Road Development Program,Project Group: Farm-to-Market Roads | Project Type: Farm-to-Market Road | Beneficiary: 
ABEMIS0535,Concreting of Brgy. Villaluz to Brgy New Magsaysay FMR,ABEMIS_FMR,Isabela,2nd District,Benito Soliven,Villaluz;New Magsaysay,,,Farm to Market Road Development Program,1.67,,11939964.71,2021,,Farm to Market Road Development Program,Project Group: Farm-to-Market Roads | Project Type: Farm-to-Market Road | Beneficiary: 
ABEMIS0536,"Concreting of Brgy. San Bernabe FMR, Brgy. San Bernabe, Maddela, Quirino",ABEMIS_FMR,Quirino,Quirino,Maddela,San Bernabe,,,Farm to Market Road Development Program,0.33,,4824418.56,2024,,Farm to Market Road Development Program,Project Group: Farm-to-Market Roads | Project Type: Farm-to-Market Road | Beneficiary: 
ABEMIS0537,Concreting of Brgy. Tappa FMR,ABEMIS_FMR,Isabela,2nd District,San Mariano,Tappa,,,Farm to Market Road Development Program,1.00,,12437503.04,2021,,Farm to Market Road Development Program,Project Group: Farm-to-Market Roads | Project Type: Farm-to-Market Road | Beneficiary: 
ABEMIS0538,Concreting of Brgy. Daragutan East to Ueg FMR,ABEMIS_FMR,Isabela,2nd District,San Mariano,Daragutan East;Ueg,,,Farm to Market Road Development Program,1.49,,11761029.76,2021,,Farm to Market Road Development Program,Project Group: Farm-to-Market Roads | Project Type: Farm-to-Market Road | Beneficiary: 
ABEMIS0539,"Concreting of Brgy. General Eulogo Balao FMR, Brgy. General Eulogo Balao, Solana, Cagayan",ABEMIS_FMR,Cagayan,3rd District,Solana,Gen. Eulogio Balao,,,Farm to Market Road Development Program,0.67,,9910179.66,2024,,Farm to Market Road Development Program,Project Group: Farm-to-Market Roads | Project Type: Farm-to-Market Road | Beneficiary: 
ABEMIS0540,Concreting of Brgy. Bitabian to Brgy. Daragutan West FMR,ABEMIS_FMR,Isabela,2nd District,San Mariano,Bitabian;Daragutan West,,,Farm to Market Road Development Program,1.78,,12251889.87,2021,,Farm to Market Road Development Program,Project Group: Farm-to-Market Roads | Project Type: Farm-to-Market Road | Beneficiary: 
ABEMIS0541,Concreting of Brgy. San Marcelo to Brgy. San Roque FMR,ABEMIS_FMR,Isabela,3rd District,Angadanan,San Marcelo;San Roque,,,Farm to Market Road Development Program,1.55,,12288493.82,2021,,Farm to Market Road Development Program,Project Group: Farm-to-Market Roads | Project Type: Farm-to-Market Road | Beneficiary: 
ABEMIS0542,"Concreting of Brgy. Sto. Tomas FMR, Brgy. Sto. Tomas, Saguday, Quirino",ABEMIS_FMR,Quirino,Quirino,Saguday,Santo Tomas,,,Farm to Market Road Development Program,0.33,,4825416.54,2024,,Farm to Market Road Development Program,Project Group: Farm-to-Market Roads | Project Type: Farm-to-Market Road | Beneficiary: 
ABEMIS0543,Concreting of Brgy. Dipaluda to Brgy. Duroc to Brgy. Lourdes FMR,ABEMIS_FMR,Isabela,3rd District,Angadanan,Dipaluda;Duroc;Lourdes (El Esca?o),,,Farm to Market Road Development Program,2.71,,19799974.75,2021,,Farm to Market Road Development Program,Project Group: Farm-to-Market Roads | Project Type: Farm-to-Market Road | Beneficiary: 
ABEMIS0544,Concreting of Brgy. San Miguel to Brgy. Planas FMR,ABEMIS_FMR,Isabela,3rd District,Ramon,San Miguel;Planas,,,Farm to Market Road Development Program,0.94,,15539701.66,2021,,Farm to Market Road Development Program,Project Group: Farm-to-Market Roads | Project Type: Farm-to-Market Road | Beneficiary: 
ABEMIS0545,Concreting of Brgy. San Pablo to Salvacion FMR,ABEMIS_FMR,Isabela,3rd District,Alicia,San Pablo;Salvacion,,,Farm to Market Road Development Program,1.32,,15478013.78,2021,,Farm to Market Road Development Program,Project Group: Farm-to-Market Roads | Project Type: Farm-to-Market Road | Beneficiary: 
ABEMIS0546,"CONCRETING OF SITIO SINGAYEN, BRGY. ASSASI FMR, BAGGAO, CAGAYAN",ABEMIS_FMR,Cagayan,1st District,Baggao,Asassi,,,Farm to Market Road Development Program,0.54,,11596273.48,2022,,Farm to Market Road Development Program,Project Group: Farm-to-Market Roads | Project Type: Farm-to-Market Road | Beneficiary: 
ABEMIS0547,"Concreting of Brgy. Burgos FMR, Brgy. Burgos, Cabarroguis, Quirino",ABEMIS_FMR,Quirino,Quirino,Cabarroguis (Capital),Burgos,,,Farm to Market Road Development Program,0.33,,4970609.05,2024,,Farm to Market Road Development Program,Project Group: Farm-to-Market Roads | Project Type: Farm-to-Market Road | Beneficiary: 
ABEMIS0548,"Concreting of Pinayag-Pallas FMR, Brgy. Pinayag, Kayapa, Nueva Vizcaya",ABEMIS_FMR,Nueva Vizcaya,Nueva Vizcaya,Kayapa,Pinayag,,,Farm to Market Road Development Program,1.33,,19898082.90,2024,,Farm to Market Road Development Program,Project Group: Farm-to-Market Roads | Project Type: Farm-to-Market Road | Beneficiary: 
ABEMIS0549,CONCRETING OF GANZANO FMR,ABEMIS_FMR,Cagayan,1st District,Gattaran,Ganzano,,,Farm to Market Road Development Program,1.00,,11930000.00,2023,,Farm to Market Road Development Program,Project Group: Farm-to-Market Roads | Project Type: Farm-to-Market Road | Beneficiary: 
ABEMIS0550,Concreting of Brgy. Sta. Isabel to Brgy. Dicamay FMR,ABEMIS_FMR,Isabela,4th District,Jones,Santa Isabel;Dicamay I,,,Farm to Market Road Development Program,0.90,,12434340.74,2021,,Farm to Market Road Development Program,Project Group: Farm-to-Market Roads | Project Type: Farm-to-Market Road | Beneficiary: 
ABEMIS0551,Concreting of Brgy. Divinan FMR Phase 1,ABEMIS_FMR,Isabela,4th District,Jones,Divinan,,,Farm to Market Road Development Program,0.99,,11940000.00,2021,,Farm to Market Road Development Program,Project Group: Farm-to-Market Roads | Project Type: Farm-to-Market Road | Beneficiary: 
ABEMIS0552,CONCRETING OF BRGY. PIGGATAN FMR,ABEMIS_FMR,Cagayan,1st District,Alcala,Piggatan,,,Farm to Market Road Development Program,1.67,,19884989.89,2023,,Farm to Market Road Development Program,Project Group: Farm-to-Market Roads | Project Type: Farm-to-Market Road | Beneficiary: 
ABEMIS0553,Concreting of Brgy. Caquilingan FMR,ABEMIS_FMR,Isabela,4th District,Cordon,Caquilingan (San Luis),,,Farm to Market Road Development Program,0.99,,11939704.31,2021,,Farm to Market Road Development Program,Project Group: Farm-to-Market Roads | Project Type: Farm-to-Market Road | Beneficiary: 
ABEMIS0554,"CONCRETING OF BRGY. CALOG SUR TO BRGY. LIBERTAD FMR, ABULUG, CAGAYAN",ABEMIS_FMR,Cagayan,2nd District,Abulug,Calog Sur,,,Farm to Market Road Development Program,2.50,,29385985.04,2022,,Farm to Market Road Development Program,Project Group: Farm-to-Market Roads | Project Type: Farm-to-Market Road | Beneficiary: 
ABEMIS0555,"Concreting of Tablada ST. Interior Vallejo, Brgy. Nabuan FMR",ABEMIS_FMR,Isabela,4th District,City of Santiago,Nabbuan,,,Farm to Market Road Development Program,0.99,,11939998.48,2021,,Farm to Market Road Development Program,Project Group: Farm-to-Market Roads | Project Type: Farm-to-Market Road | Beneficiary: 
ABEMIS0556,CONCRETING OF BRGY. NAVAGAN FMR,ABEMIS_FMR,Cagayan,1st District,Aparri,Navagan,,,Farm to Market Road Development Program,1.67,,19890001.64,2023,,Farm to Market Road Development Program,Project Group: Farm-to-Market Roads | Project Type: Farm-to-Market Road | Beneficiary: 
ABEMIS0557,Concreting of Brgy. Barucboc FMR,ABEMIS_FMR,Isabela,5th District,Quezon,Barucboc Norte,,,Farm to Market Road Development Program,1.05,,12237304.90,2021,,Farm to Market Road Development Program,Project Group: Farm-to-Market Roads | Project Type: Farm-to-Market Road | Beneficiary: 
ABEMIS0558,Concreting of Brgy. Malalinta FMR,ABEMIS_FMR,Isabela,5th District,San Manuel,Malalinta,,,Farm to Market Road Development Program,0.84,,19767290.46,2021,,Farm to Market Road Development Program,Project Group: Farm-to-Market Roads | Project Type: Farm-to-Market Road | Beneficiary: 
ABEMIS0559,"CONCRETING OF BRGY. GUIDDAM TO BRGY. SAN AGUSTIN FMR , ABULUG, CAGAYAN",ABEMIS_FMR,Cagayan,2nd District,Abulug,Guiddam,,,Farm to Market Road Development Program,1.25,,14916074.76,2022,,Farm to Market Road Development Program,Project Group: Farm-to-Market Roads | Project Type: Farm-to-Market Road | Beneficiary: 
ABEMIS0560,Concreting of Brgy. Harana FMR,ABEMIS_FMR,Isabela,5th District,Luna,Harana,,,Farm to Market Road Development Program,1.31,,11834874.56,2021,,Farm to Market Road Development Program,Project Group: Farm-to-Market Roads | Project Type: Farm-to-Market Road | Beneficiary: 
ABEMIS0561,"Concreting of Nangauilian Farm-to-Market Road, Brgy. Mission, Santa Teresita, Cagayan",ABEMIS_FMR,Cagayan,1st District,Santa Teresita,Mission,,,Farm to Market Road Development Program,1.33,,19880000.00,2024,,Farm to Market Road Development Program,Project Group: Farm-to-Market Roads | Project Type: Farm-to-Market Road | Beneficiary: 
ABEMIS0562,CONCRETING OF SITIO NAVARRO TO BRGY. SAN ISIDRO FMR,ABEMIS_FMR,Quirino,Quirino,Diffun,San Isidro,,,Farm to Market Road Development Program,1.00,,11936696.89,2023,,Farm to Market Road Development Program,Project Group: Farm-to-Market Roads | Project Type: Farm-to-Market Road | Beneficiary: 
ABEMIS0563,Concreting of Centro 1 to San Ramon FMR,ABEMIS_FMR,Isabela,5th District,Mallig,Centro I (Pob.);San Ramon,,,Farm to Market Road Development Program,1.09,,44374513.52,2021,,Farm to Market Road Development Program,Project Group: Farm-to-Market Roads | Project Type: Farm-to-Market Road | Beneficiary: 
ABEMIS0564,Concreting of Brgy. Patanad to Brgy. Villaflor FMR,ABEMIS_FMR,Isabela,6th District,San Isidro,Patanad;Villaflor,,,Farm to Market Road Development Program,1.00,,12576796.24,2021,,Farm to Market Road Development Program,Project Group: Farm-to-Market Roads | Project Type: Farm-to-Market Road | Beneficiary: 
ABEMIS0565,"CONCRETING OF BRGY. SAN JULIAN FMR,ABULUG, CAGAYAN",ABEMIS_FMR,Cagayan,2nd District,Abulug,San Julian,,,Farm to Market Road Development Program,2.50,,29438223.50,2022,,Farm to Market Road Development Program,Project Group: Farm-to-Market Roads | Project Type: Farm-to-Market Road | Beneficiary: 
ABEMIS0566,"Concreting of Ganzano FMR Phase I, Brgy. Ganzano, Gattaran, Cagayan",ABEMIS_FMR,Cagayan,1st District,Gattaran,Ganzano,,,Farm to Market Road Development Program,1.00,,14916999.99,2024,,Farm to Market Road Development Program,Project Group: Farm-to-Market Roads | Project Type: Farm-to-Market Road | Beneficiary: 
ABEMIS0567,"Concreting of Brgy. Pinya FMR, Brgy. Pinya, Diadi, Nueva Vizcaya",ABEMIS_FMR,Nueva Vizcaya,Nueva Vizcaya,Diadi,Pinya,,,Farm to Market Road Development Program,1.00,,9950000.01,2024,,Farm to Market Road Development Program,Project Group: Farm-to-Market Roads | Project Type: Farm-to-Market Road | Beneficiary: 
ABEMIS0568,Concreting of Brgy. Cebu to Brgy. Rizal West FMR,ABEMIS_FMR,Isabela,6th District,City of Cauayan,Rizal,,,Farm to Market Road Development Program,1.00,,12318424.02,2021,,Farm to Market Road Development Program,Project Group: Farm-to-Market Roads | Project Type: Farm-to-Market Road | Beneficiary: 
ABEMIS0569,Concreting of Brgy. Rogus FMR,ABEMIS_FMR,Isabela,6th District,City of Cauayan,Rogus,,,Farm to Market Road Development Program,1.00,,11940000.00,2021,,Farm to Market Road Development Program,Project Group: Farm-to-Market Roads | Project Type: Farm-to-Market Road | Beneficiary: 
ABEMIS0570,CONCRETING/IMPROVEMENT OF BRGY. GOMEZ FMR,ABEMIS_FMR,Quirino,Quirino,Cabarroguis (Capital),Gomez,,,Farm to Market Road Development Program,1.00,,4921057.31,2023,,Farm to Market Road Development Program,Project Group: Farm-to-Market Roads | Project Type: Farm-to-Market Road | Beneficiary: 
ABEMIS0571,Concreting of Brgy. Labinab FMR,ABEMIS_FMR,Isabela,6th District,City of Cauayan,Labinab,,,Farm to Market Road Development Program,0.86,,11936131.97,2021,,Farm to Market Road Development Program,Project Group: Farm-to-Market Roads | Project Type: Farm-to-Market Road | Beneficiary: 
ABEMIS0572,"CONCRETING OF BRGY. FUGU TO SITIO CABAGGAOAN FMR,BALLESTEROS, CAGAYAN",ABEMIS_FMR,Cagayan,2nd District,Ballesteros,Fugu,,,Farm to Market Road Development Program,2.08,,24367923.09,2022,,Farm to Market Road Development Program,Project Group: Farm-to-Market Roads | Project Type: Farm-to-Market Road | Beneficiary: 
ABEMIS0573,CONCRETING/IMPROVEMENT OF BRGY. MANGANDINGAY FMR,ABEMIS_FMR,Quirino,Quirino,Cabarroguis (Capital),Mangandingay (Pob.),,,Farm to Market Road Development Program,1.00,,4972966.08,2023,,Farm to Market Road Development Program,Project Group: Farm-to-Market Roads | Project Type: Farm-to-Market Road | Beneficiary: 
ABEMIS0574,CONCRETING OF SAN MIGUEL FMR,ABEMIS_FMR,Cagayan,1st District,Baggao,San Miguel,,,Farm to Market Road Development Program,1.26,,12422506.78,2023,,Farm to Market Road Development Program,Project Group: Farm-to-Market Roads | Project Type: Farm-to-Market Road | Beneficiary: 
ABEMIS0575,CONCRETING OF TAGUMAY- PALAGAO SUR FMR,ABEMIS_FMR,Cagayan,1st District,Gattaran,Tagumay;Palagao Sur,,,Farm to Market Road Development Program,1.25,,14910000.01,2023,,Farm to Market Road Development Program,Project Group: Farm-to-Market Roads | Project Type: Farm-to-Market Road | Beneficiary: 
ABEMIS0576,CONCRETING OF BRGY. PALACIAN - BRGY. DIODOL FMR,ABEMIS_FMR,Quirino,Quirino,Aglipay,Palacian;Diodol,,,Farm to Market Road Development Program,1.04,,12435290.06,2023,,Farm to Market Road Development Program,Project Group: Farm-to-Market Roads | Project Type: Farm-to-Market Road | Beneficiary: 
ABEMIS0577,CONCRETING OF SAN JUAN- CALAPPAWAN FMR,ABEMIS_FMR,Cagayan,2nd District,Ballesteros,San Juan,,,Farm to Market Road Development Program,1.25,,14925000.00,2023,,Farm to Market Road Development Program,Project Group: Farm-to-Market Roads | Project Type: Farm-to-Market Road | Beneficiary: 
ABEMIS0578,CONCRETING/ IMPROVEMENT OF BRGY. SAN LEONARDO FMR,ABEMIS_FMR,Quirino,Quirino,Aglipay,San Leonardo (Cabarroguis),,,Farm to Market Road Development Program,1.00,,4972879.30,2023,,Farm to Market Road Development Program,Project Group: Farm-to-Market Roads | Project Type: Farm-to-Market Road | Beneficiary: 
ABEMIS0579,"CONCETING OF INNER CUBA,SITIO CUBA, BRGY. CALOG SUR- BRGY. SIMAYUNG FMR",ABEMIS_FMR,Cagayan,2nd District,Abulug,Calog Sur;Simayung,,,Farm to Market Road Development Program,1.25,,14924997.17,2023,,Farm to Market Road Development Program,Project Group: Farm-to-Market Roads | Project Type: Farm-to-Market Road | Beneficiary: 
ABEMIS0580,CONCRETING/IMPROVEMENT OF BRGY. LA PAZ FMR,ABEMIS_FMR,Quirino,Quirino,Saguday,La Paz,,,Farm to Market Road Development Program,1.00,,4972741.37,2023,,Farm to Market Road Development Program,Project Group: Farm-to-Market Roads | Project Type: Farm-to-Market Road | Beneficiary: 
ABEMIS0581,CONCRETING OF SAN JULIAN FMR,ABEMIS_FMR,Cagayan,2nd District,Abulug,San Julian,,,Farm to Market Road Development Program,1.00,,11726016.20,2023,,Farm to Market Road Development Program,Project Group: Farm-to-Market Roads | Project Type: Farm-to-Market Road | Beneficiary: 
ABEMIS0582,CONCRETING/ IMPROVEMENT OF BRGY. DUMABATO NORTE FMR,ABEMIS_FMR,Quirino,Quirino,Maddela,Dumabato Norte,,,Farm to Market Road Development Program,1.00,,4824737.67,2023,,Farm to Market Road Development Program,Project Group: Farm-to-Market Roads | Project Type: Farm-to-Market Road | Beneficiary: 
ABEMIS0583,CONCRETING OF BRGY. VIGA FMR,ABEMIS_FMR,Cagayan,2nd District,Lasam,Viga,,,Farm to Market Road Development Program,1.00,,11742816.77,2023,,Farm to Market Road Development Program,Project Group: Farm-to-Market Roads | Project Type: Farm-to-Market Road | Beneficiary: 
ABEMIS0584,CONCRETING OF ROMA SUR FMR,ABEMIS_FMR,Cagayan,3rd District,Enrile,Roma Sur,,,Farm to Market Road Development Program,1.25,,16055267.68,2023,,Farm to Market Road Development Program,Project Group: Farm-to-Market Roads | Project Type: Farm-to-Market Road | Beneficiary: 
