province,municipality,cropname,rsba_crop_record_count,rsba_crop_area_ha
CAGAYAN,PIAT,Other fruit-bearing vegetables,40,22.43
CAGAYAN,PIAT,Other leafy vegetables,40,9.79
CAGAYAN,PIAT,Other leguminous plants,1,0.3
CAGAYAN,PIAT,Other varieties of tobacco,21,9.53
CAGAYAN,PIAT,Peacock,1,0
CAGAYAN,PIAT,Peanuts,2,2.7
CAGAYAN,PIAT,Pigeons,1,0
CAGAYAN,PIAT,Pigs or swine,536,0
CAGAYAN,PIAT,Rabbits and hares,1,0
CAGAYAN,PIAT,Rice/Palay,2263,3442.26
CAGAYAN,PIAT,Sheep,10,0
CAGAYAN,PIAT,Sugarcane,128,347.52
CAGAYAN,PIAT,Tilapia,1,0.02
CAGAYAN,PIAT,Tobacco (native),22,8.31
CAGAYAN,PIAT,Turkeys,29,0
CAGAYAN,RIZAL,Banana,510,541.46
CAGAYAN,RIZAL,Buffaloes (Carabaos),202,0
CAGAYAN,RIZAL,Cacao,3,1.1
CAGAYAN,RIZAL,Cattle,3,0
CAGAYAN,RIZAL,Chickens,148,0
CAGAYAN,RIZAL,Citronella,1,0.25
CAGAYAN,RIZAL,Coconut,56,50.27
CAGAYAN,RIZAL,Coffee - other varieties,3,7.4
CAGAYAN,RIZAL,Corn,3593,5288.48
CAGAYAN,RIZAL,Dogs and cats,9,0
CAGAYAN,RIZAL,Ducks,94,0
CAGAYAN,RIZAL,Eggplant (talong),1,3
CAGAYAN,RIZAL,Geese,2,0
CAGAYAN,RIZAL,Goats,12,0
CAGAYAN,RIZAL,Horses,1,0
CAGAYAN,RIZAL,Kalamansi,1,6
CAGAYAN,RIZAL,Lanzones,2,0.8
CAGAYAN,RIZAL,Lime (Calamansi),2,0.55
CAGAYAN,RIZAL,Mandarin (dalanghita),7,11.33
CAGAYAN,RIZAL,Mango,69,62.74
CAGAYAN,RIZAL,Ostrich,1,0
CAGAYAN,RIZAL,Other animals (e.g.,3,0
CAGAYAN,RIZAL,Other Fish,1,0.2
CAGAYAN,RIZAL,Other fruit-bearing trees and vines,18,28.3
CAGAYAN,RIZAL,Other fruit-bearing vegetables,9,5.76
CAGAYAN,RIZAL,Other industrial crops,1,1.3
CAGAYAN,RIZAL,Other leafy vegetables,3,3.95
CAGAYAN,RIZAL,Other leguminous plants,1,1
CAGAYAN,RIZAL,Peanuts,1,0.75
CAGAYAN,RIZAL,Pigs or swine,140,0
CAGAYAN,RIZAL,Pineapple,1,0.5
CAGAYAN,RIZAL,Rambutan,3,1.3
CAGAYAN,RIZAL,Rice/Palay,1810,1510.34
CAGAYAN,RIZAL,Squash (kalabasa),1,0.7
CAGAYAN,RIZAL,Tilapia,5,0.16
CAGAYAN,RIZAL,Tobacco (native),6,3.48
CAGAYAN,RIZAL,Tobacco (Virginia),1,0.4
CAGAYAN,RIZAL,Turkeys,4,0
CAGAYAN,SANCHEZ MIRA,Banana,1,3
CAGAYAN,SANCHEZ MIRA,Buffaloes (Carabaos),22,0
CAGAYAN,SANCHEZ MIRA,Cacao,1,3.25
CAGAYAN,SANCHEZ MIRA,Cattle,75,0
CAGAYAN,SANCHEZ MIRA,Chickens,87,0
CAGAYAN,SANCHEZ MIRA,Coconut,167,214.24
CAGAYAN,SANCHEZ MIRA,Coffee - other varieties,1,2
CAGAYAN,SANCHEZ MIRA,Corn,75,70.43
CAGAYAN,SANCHEZ MIRA,Ducks,29,0
CAGAYAN,SANCHEZ MIRA,Geese,1,0
CAGAYAN,SANCHEZ MIRA,Goats,18,0
CAGAYAN,SANCHEZ MIRA,Hito/Catfish,1,0.03
CAGAYAN,SANCHEZ MIRA,Mushroom,1,0.05
CAGAYAN,SANCHEZ MIRA,Other animals (e.g.,4,0
CAGAYAN,SANCHEZ MIRA,Other Fish,90,9.25
CAGAYAN,SANCHEZ MIRA,Other fruit-bearing trees and vines,1,0.2
CAGAYAN,SANCHEZ MIRA,Other fruit-bearing vegetables,5,8.58
CAGAYAN,SANCHEZ MIRA,Other leafy vegetables,1,0.05
CAGAYAN,SANCHEZ MIRA,Other poultry,1,0
CAGAYAN,SANCHEZ MIRA,Pigs or swine,121,0
CAGAYAN,SANCHEZ MIRA,Rice/Palay,2005,2940.22
CAGAYAN,SANCHEZ MIRA,Sheep,1,0
CAGAYAN,SANCHEZ MIRA,Tilapia,8,1.91
CAGAYAN,SANCHEZ MIRA,Turkeys,5,0
CAGAYAN,SANCHEZ MIRA,Yam,1,0.25
CAGAYAN,SANTA ANA,Banana,7,3.8
CAGAYAN,SANTA ANA,Buffaloes (Carabaos),144,0
CAGAYAN,SANTA ANA,Camote tops (talbos ng kamote),1,1
CAGAYAN,SANTA ANA,Cassava (kamoteng kahoy),2,1.7
CAGAYAN,SANTA ANA,Cattle,48,0
CAGAYAN,SANTA ANA,Chickens,126,0
CAGAYAN,SANTA ANA,Coconut,9,12.9
CAGAYAN,SANTA ANA,Corn,187,255.29
CAGAYAN,SANTA ANA,Ducks,37,0
CAGAYAN,SANTA ANA,Eggplant (talong),9,0.7
CAGAYAN,SANTA ANA,Goats,17,0
CAGAYAN,SANTA ANA,Lime (Calamansi),3,1.1
CAGAYAN,SANTA ANA,Mandarin (dalanghita),1,0.3
CAGAYAN,SANTA ANA,Other crops for fiber production,1,0.5
CAGAYAN,SANTA ANA,Other Fish,4,0.18
CAGAYAN,SANTA ANA,Other fruit-bearing trees and vines,2,1.8
CAGAYAN,SANTA ANA,Other fruit-bearing vegetables,18,16.43
CAGAYAN,SANTA ANA,Other leafy vegetables,6,3.21
CAGAYAN,SANTA ANA,Other leguminous plants,3,1.73
CAGAYAN,SANTA ANA,Peanuts,1,0.1
CAGAYAN,SANTA ANA,Pigs or swine,75,0
CAGAYAN,SANTA ANA,Pineapple,120,194.28
CAGAYAN,SANTA ANA,Rabbits and hares,1,0
CAGAYAN,SANTA ANA,Rice/Palay,2565,3674.86
CAGAYAN,SANTA ANA,Sheep,1,0
CAGAYAN,SANTA ANA,String beans - harvested green (sitao),1,0.5
CAGAYAN,SANTA ANA,Tilapia,1,1.22
CAGAYAN,SANTA ANA,Turkeys,1,0
CAGAYAN,SANTA ANA,Water melon,21,24.26
CAGAYAN,SANTA PRAXEDES,Ampalaya,1,0
CAGAYAN,SANTA PRAXEDES,Banana,26,11.15
CAGAYAN,SANTA PRAXEDES,Betel Nut (Nga-nga),1,0.44
CAGAYAN,SANTA PRAXEDES,Black pepper,1,0.25
CAGAYAN,SANTA PRAXEDES,Buffaloes (Carabaos),16,0
CAGAYAN,SANTA PRAXEDES,Cacao,2,0.65
CAGAYAN,SANTA PRAXEDES,Camote tops (talbos ng kamote),1,0.01
CAGAYAN,SANTA PRAXEDES,Cassava (kamoteng kahoy),5,0.46
CAGAYAN,SANTA PRAXEDES,Cattle,21,0
CAGAYAN,SANTA PRAXEDES,Chickens,80,0
CAGAYAN,SANTA PRAXEDES,Coconut,101,83.52
CAGAYAN,SANTA PRAXEDES,Coffee - other varieties,1,0.15
CAGAYAN,SANTA PRAXEDES,Corn,2,2.58
CAGAYAN,SANTA PRAXEDES,Ducks,33,0
CAGAYAN,SANTA PRAXEDES,Eggplant (talong),1,0
CAGAYAN,SANTA PRAXEDES,Geese,1,0
CAGAYAN,SANTA PRAXEDES,Ginger (luya),1,0.06
CAGAYAN,SANTA PRAXEDES,Gmelina Arborea,1,0.3
CAGAYAN,SANTA PRAXEDES,Goats,6,0
CAGAYAN,SANTA PRAXEDES,Grapes (ubas),1,0.37
CAGAYAN,SANTA PRAXEDES,Hito/Catfish,1,0
CAGAYAN,SANTA PRAXEDES,Jackfruit,2,0.75
CAGAYAN,SANTA PRAXEDES,Lanzones,1,1.75
CAGAYAN,SANTA PRAXEDES,Lime (Calamansi),1,0.06
CAGAYAN,SANTA PRAXEDES,Mahogany,1,0.3
CAGAYAN,SANTA PRAXEDES,Mandarin (dalanghita),7,5.76
CAGAYAN,SANTA PRAXEDES,Other Fish,75,1.82
CAGAYAN,SANTA PRAXEDES,Other fruit-bearing trees and vines,50,54.11
CAGAYAN,SANTA PRAXEDES,Other fruit-bearing vegetables,6,1.63
CAGAYAN,SANTA PRAXEDES,Other leafy vegetables,23,3.21
CAGAYAN,SANTA PRAXEDES,Other leguminous plants,1,0.02
CAGAYAN,SANTA PRAXEDES,Other tubers - roots and bulbs,1,0.12
CAGAYAN,SANTA PRAXEDES,Palm tree,1,0.6
CAGAYAN,SANTA PRAXEDES,Pechay,1,0
CAGAYAN,SANTA PRAXEDES,Pigs or swine,79,0
CAGAYAN,SANTA PRAXEDES,Pineapple,7,1.96
CAGAYAN,SANTA PRAXEDES,Pomelo (suha),1,0.5
CAGAYAN,SANTA PRAXEDES,Rambutan,9,3.31
CAGAYAN,SANTA PRAXEDES,Rice/Palay,563,405.95
CAGAYAN,SANTA PRAXEDES,Sheep,1,0
CAGAYAN,SANTA PRAXEDES,Squash (kalabasa),1,0
CAGAYAN,SANTA PRAXEDES,Tilapia,5,0.13
CAGAYAN,SANTA PRAXEDES,Turkeys,2,0
CAGAYAN,SANTA TERESITA,Ampalaya,2,1.5
CAGAYAN,SANTA TERESITA,Banana,7,7.5
CAGAYAN,SANTA TERESITA,Buffaloes (Carabaos),328,0
CAGAYAN,SANTA TERESITA,Cattle,138,0
CAGAYAN,SANTA TERESITA,Chickens,161,0.12
CAGAYAN,SANTA TERESITA,Coconut,18,20.71
CAGAYAN,SANTA TERESITA,Corn,1793,2814.11
CAGAYAN,SANTA TERESITA,Crab,1,0.3
CAGAYAN,SANTA TERESITA,crops for seed and seedling,1,1
CAGAYAN,SANTA TERESITA,Dragon Fruit,1,2
CAGAYAN,SANTA TERESITA,Ducks,107,0
CAGAYAN,SANTA TERESITA,Geese,2,0
CAGAYAN,SANTA TERESITA,Goats,19,0
CAGAYAN,SANTA TERESITA,Guinea Fowls,1,0
CAGAYAN,SANTA TERESITA,Horses,1,0
CAGAYAN,SANTA TERESITA,Malaga,1,0.25
CAGAYAN,SANTA TERESITA,Other animals (e.g.,7,0
CAGAYAN,SANTA TERESITA,Other Fish,36,20.25
CAGAYAN,SANTA TERESITA,Other fruit-bearing trees and vines,5,20.45
CAGAYAN,SANTA TERESITA,Other fruit-bearing vegetables,14,25.09
CAGAYAN,SANTA TERESITA,Other industrial crops,2,1.25
CAGAYAN,SANTA TERESITA,Other leafy vegetables,11,6.25
CAGAYAN,SANTA TERESITA,Other spices,1,0.25
CAGAYAN,SANTA TERESITA,Other tubers - roots and bulbs,1,0.6
CAGAYAN,SANTA TERESITA,Pigeons,1,0
CAGAYAN,SANTA TERESITA,Pigs or swine,142,0.25
CAGAYAN,SANTA TERESITA,Pineapple,2,5
CAGAYAN,SANTA TERESITA,Rice/Palay,2974,3564.11
CAGAYAN,SANTA TERESITA,Sheep,5,0
CAGAYAN,SANTA TERESITA,Tilapia,34,19.18
CAGAYAN,SANTA TERESITA,Turkeys,5,0
CAGAYAN,SANTA TERESITA,Water melon,1,0.75
CAGAYAN,SANTO NIÑO FAIRE,Ampalaya,4,1.8
CAGAYAN,SANTO NIÑO FAIRE,Banana,4,5.25
CAGAYAN,SANTO NIÑO FAIRE,Buffaloes (Carabaos),1169,0
CAGAYAN,SANTO NIÑO FAIRE,Cabbage (repolyo),2,0.72
CAGAYAN,SANTO NIÑO FAIRE,Cattle,74,0
CAGAYAN,SANTO NIÑO FAIRE,Chickens,1204,0
CAGAYAN,SANTO NIÑO FAIRE,Chili (labuyo),1,0.07
CAGAYAN,SANTO NIÑO FAIRE,Corn,3736,4700.66
CAGAYAN,SANTO NIÑO FAIRE,Dogs and cats,4,0
CAGAYAN,SANTO NIÑO FAIRE,Ducks,453,0
CAGAYAN,SANTO NIÑO FAIRE,Eggplant (talong),9,5
CAGAYAN,SANTO NIÑO FAIRE,"Forage grass (sacate, alfalfa, green corn stalk)",1,5
CAGAYAN,SANTO NIÑO FAIRE,Geese,19,0
CAGAYAN,SANTO NIÑO FAIRE,Goats,272,0
CAGAYAN,SANTO NIÑO FAIRE,Green corn,2,1.25
CAGAYAN,SANTO NIÑO FAIRE,Horses,7,0
CAGAYAN,SANTO NIÑO FAIRE,Mango,1,1
CAGAYAN,SANTO NIÑO FAIRE,Other Fish,4,0.31
CAGAYAN,SANTO NIÑO FAIRE,Other fruit-bearing trees and vines,2,0.75
CAGAYAN,SANTO NIÑO FAIRE,Other fruit-bearing vegetables,78,34.02
CAGAYAN,SANTO NIÑO FAIRE,Other leafy vegetables,56,23.31
CAGAYAN,SANTO NIÑO FAIRE,Other varieties of tobacco,2,1.35
CAGAYAN,SANTO NIÑO FAIRE,Pigeons,1,0
CAGAYAN,SANTO NIÑO FAIRE,Pigs or swine,818,0
CAGAYAN,SANTO NIÑO FAIRE,Rice/Palay,4083,4614.67
CAGAYAN,SANTO NIÑO FAIRE,Sheep,1,0
CAGAYAN,SANTO NIÑO FAIRE,Squash (kalabasa),2,0.57
CAGAYAN,SANTO NIÑO FAIRE,Sugarcane,21,39.4
CAGAYAN,SANTO NIÑO FAIRE,Tilapia,3,0.29
CAGAYAN,SANTO NIÑO FAIRE,Tobacco (native),5,1.78
CAGAYAN,SANTO NIÑO FAIRE,Turkeys,17,0
CAGAYAN,SANTO NIÑO FAIRE,Wax gourd (kondol),1,0.25
CAGAYAN,SOLANA,Ampalaya,14,6.52
CAGAYAN,SOLANA,Banana,6,6.14
CAGAYAN,SOLANA,Buffaloes (Carabaos),680,0
CAGAYAN,SOLANA,Cacao,1,1
CAGAYAN,SOLANA,Camansi,1,2.04
CAGAYAN,SOLANA,Cattle,169,0
CAGAYAN,SOLANA,Chickens,1063,0
CAGAYAN,SOLANA,Chili (labuyo),1,0.3
CAGAYAN,SOLANA,Coconut,2,1.3
CAGAYAN,SOLANA,Common gourd (upo),3,0.55
CAGAYAN,SOLANA,Corn,4929,7483.49
CAGAYAN,SOLANA,crops for seed and seedling,1,0.75
CAGAYAN,SOLANA,Dogs and cats,4,0
CAGAYAN,SOLANA,Ducks,768,0
CAGAYAN,SOLANA,Eggplant (talong),6,2.3
CAGAYAN,SOLANA,"Forage grass (sacate, alfalfa, green corn stalk)",3,2.79
CAGAYAN,SOLANA,Geese,17,0
CAGAYAN,SOLANA,Goats,62,0
CAGAYAN,SOLANA,Green corn,2,0.91
CAGAYAN,SOLANA,Hito/Catfish,2,0.16
CAGAYAN,SOLANA,Horses,8,0
CAGAYAN,SOLANA,Kalamansi,1,0.4
CAGAYAN,SOLANA,Mango,4,3.16
CAGAYAN,SOLANA,Okra,3,0.5
CAGAYAN,SOLANA,Other animals (e.g.,3,0
CAGAYAN,SOLANA,Other Fish,13,5.38
CAGAYAN,SOLANA,Other fruit-bearing trees and vines,7,5.95
CAGAYAN,SOLANA,Other fruit-bearing vegetables,104,60.12
CAGAYAN,SOLANA,Other industrial crops,7,3.33
CAGAYAN,SOLANA,Other leafy vegetables,52,32.46
CAGAYAN,SOLANA,Other leguminous plants,2,1.5
CAGAYAN,SOLANA,Other poultry,1,0
CAGAYAN,SOLANA,Other varieties of tobacco,13,6.79
CAGAYAN,SOLANA,Patola,6,1.56
CAGAYAN,SOLANA,Pigs or swine,620,0
CAGAYAN,SOLANA,Rabbits and hares,2,0
CAGAYAN,SOLANA,Rice/Palay,9062,15036.9
CAGAYAN,SOLANA,Sheep,9,0
CAGAYAN,SOLANA,Squash (kalabasa),2,0.6
CAGAYAN,SOLANA,String beans - harvested green (sitao),5,1.3
CAGAYAN,SOLANA,Sugarcane,148,407.1
CAGAYAN,SOLANA,Tilapia,2,0.4
CAGAYAN,SOLANA,Tobacco (native),16,7.77
CAGAYAN,SOLANA,Tomato (kamatis),1,0.1
CAGAYAN,SOLANA,Turkeys,24,0
CAGAYAN,TUAO,Ampalaya,1,1.7
CAGAYAN,TUAO,Banana,3,2
CAGAYAN,TUAO,Buffaloes (Carabaos),328,0
CAGAYAN,TUAO,Cacao,2,0.13
CAGAYAN,TUAO,Cattle,55,0
CAGAYAN,TUAO,Chickens,911,0
CAGAYAN,TUAO,Chinese Cabbage,1,0.01
CAGAYAN,TUAO,Corn,3056,3556.18
CAGAYAN,TUAO,Dogs and cats,7,0
CAGAYAN,TUAO,Ducks,610,0
CAGAYAN,TUAO,Eggplant (talong),1,0.1
CAGAYAN,TUAO,Geese,14,0
CAGAYAN,TUAO,Goats,68,0
CAGAYAN,TUAO,Hito/Catfish,5,1.28
CAGAYAN,TUAO,Horses,8,0
CAGAYAN,TUAO,Mango,1,1
CAGAYAN,TUAO,Other animals (e.g.,8,0
CAGAYAN,TUAO,Other Fish,6,0.95
CAGAYAN,TUAO,Other fruit-bearing trees and vines,1,0.3
CAGAYAN,TUAO,Other fruit-bearing vegetables,33,9.56
CAGAYAN,TUAO,Other leafy vegetables,19,5.03
CAGAYAN,TUAO,Other poultry,1,0
CAGAYAN,TUAO,Other varieties of tobacco,11,4.38
CAGAYAN,TUAO,Peanuts,2,0.9
CAGAYAN,TUAO,Pigs or swine,469,0
CAGAYAN,TUAO,Rice/Palay,7908,10545.61
CAGAYAN,TUAO,Sheep,4,0
CAGAYAN,TUAO,Squash (kalabasa),2,1.1
CAGAYAN,TUAO,Sugarcane,156,430.76
CAGAYAN,TUAO,Tilapia,5,5.94
CAGAYAN,TUAO,Tobacco (native),16,7.57
CAGAYAN,TUAO,Turkeys,12,0
CAGAYAN,TUGUEGARAO CITY Capital,Banana,6,2.34
CAGAYAN,TUGUEGARAO CITY Capital,Buffaloes (Carabaos),607,0
CAGAYAN,TUGUEGARAO CITY Capital,Cattle,302,0
CAGAYAN,TUGUEGARAO CITY Capital,Chickens,669,0
CAGAYAN,TUGUEGARAO CITY Capital,Coconut,1,0.8
CAGAYAN,TUGUEGARAO CITY Capital,Corn,2664,3803.85
CAGAYAN,TUGUEGARAO CITY Capital,Dogs and cats,34,0
CAGAYAN,TUGUEGARAO CITY Capital,Ducks,329,0
CAGAYAN,TUGUEGARAO CITY Capital,Eggplant (talong),1,0.4
CAGAYAN,TUGUEGARAO CITY Capital,Geese,33,0
CAGAYAN,TUGUEGARAO CITY Capital,Goats,54,0
CAGAYAN,TUGUEGARAO CITY Capital,Guinea Fowls,1,0
CAGAYAN,TUGUEGARAO CITY Capital,Horses,35,0
CAGAYAN,TUGUEGARAO CITY Capital,Lettuce,1,0.5
CAGAYAN,TUGUEGARAO CITY Capital,Lime (Calamansi),1,0.5
CAGAYAN,TUGUEGARAO CITY Capital,Mango,3,1.85
CAGAYAN,TUGUEGARAO CITY Capital,Mongo (Mung Bean),2,0.32
CAGAYAN,TUGUEGARAO CITY Capital,Mushroom,2,0.14
CAGAYAN,TUGUEGARAO CITY Capital,Other Fish,5,0.85
CAGAYAN,TUGUEGARAO CITY Capital,Other fruit-bearing trees and vines,4,31.57
CAGAYAN,TUGUEGARAO CITY Capital,Other fruit-bearing vegetables,87,23.17
CAGAYAN,TUGUEGARAO CITY Capital,Other leafy vegetables,73,24.9
CAGAYAN,TUGUEGARAO CITY Capital,Other leguminous plants,25,7.25
CAGAYAN,TUGUEGARAO CITY Capital,Papaya,1,0.5
CAGAYAN,TUGUEGARAO CITY Capital,Peanuts,20,9.45
CAGAYAN,TUGUEGARAO CITY Capital,Pigeons,1,0
CAGAYAN,TUGUEGARAO CITY Capital,Pigs or swine,149,0
CAGAYAN,TUGUEGARAO CITY Capital,Rabbits and hares,2,0
CAGAYAN,TUGUEGARAO CITY Capital,Radish (labanos),1,0.05
CAGAYAN,TUGUEGARAO CITY Capital,Rice/Palay,1206,1642.96
CAGAYAN,TUGUEGARAO CITY Capital,Sheep,15,0
CAGAYAN,TUGUEGARAO CITY Capital,Squash (kalabasa),1,0.04
CAGAYAN,TUGUEGARAO CITY Capital,String beans - harvested green (sitao),2,0.15
CAGAYAN,TUGUEGARAO CITY Capital,Sugarcane,5,24.12
CAGAYAN,TUGUEGARAO CITY Capital,Tilapia,6,1.09
CAGAYAN,TUGUEGARAO CITY Capital,Tobacco (native),4,2.25
CAGAYAN,TUGUEGARAO CITY Capital,Turkeys,37,0
ISABELA,ALICIA,Banana,2,2.5
ISABELA,ALICIA,Buffaloes (Carabaos),2,0
ISABELA,ALICIA,Cattle,2,0
ISABELA,ALICIA,Chickens,5,0
ISABELA,ALICIA,Corn,43,67.71
ISABELA,ALICIA,Ducks,4,0
ISABELA,ALICIA,Lemon,1,0.41
ISABELA,ALICIA,Mango,2,2.42
ISABELA,ALICIA,Mongo (Mung Bean),1,3.02
ISABELA,ALICIA,Other Fish,24,4.35
ISABELA,ALICIA,Other fruit-bearing vegetables,1,2
ISABELA,ALICIA,Other leafy vegetables,1,0.75
ISABELA,ALICIA,Other leguminous plants,3,1.2
ISABELA,ALICIA,Pigs or swine,48,0
ISABELA,ALICIA,Rice/Palay,4950,8831.25
ISABELA,ALICIA,Sugarcane,7,7.35
ISABELA,ALICIA,Tilapia,5,6
ISABELA,ANGADANAN,Ampalaya,2,3
ISABELA,ANGADANAN,Bamboo (Kawayan),3,1.85
ISABELA,ANGADANAN,Banana,184,113.83
ISABELA,ANGADANAN,Buffaloes (Carabaos),211,0
ISABELA,ANGADANAN,Cacao,3,1.18
ISABELA,ANGADANAN,Cassava (kamoteng kahoy),70,62.67
ISABELA,ANGADANAN,Cattle,192,0
ISABELA,ANGADANAN,Chickens,444,0
ISABELA,ANGADANAN,Coconut,9,8.98
ISABELA,ANGADANAN,Coffee - other varieties,9,4.92
ISABELA,ANGADANAN,Coffee arabica,1,0.12
ISABELA,ANGADANAN,Corn,4327,6559.16
ISABELA,ANGADANAN,Deer,1,0
ISABELA,ANGADANAN,Dogs and cats,3,0
ISABELA,ANGADANAN,Dragon Fruit,1,0.25
ISABELA,ANGADANAN,Ducks,157,0
ISABELA,ANGADANAN,"Forage grass (sacate, alfalfa, green corn stalk)",1,0.29
ISABELA,ANGADANAN,Geese,1,0
ISABELA,ANGADANAN,Goats,39,0
ISABELA,ANGADANAN,Grapes (ubas),1,0.05
ISABELA,ANGADANAN,Hito/Catfish,1,0.07
ISABELA,ANGADANAN,Kalamansi,2,0.8
ISABELA,ANGADANAN,Mango,8,9.41
ISABELA,ANGADANAN,Mongo (Mung Bean),2,0.35
ISABELA,ANGADANAN,Other animals (e.g.,2,0
ISABELA,ANGADANAN,Other Fish,12,1.1
ISABELA,ANGADANAN,Other fruit-bearing trees and vines,4,2.69
ISABELA,ANGADANAN,Other fruit-bearing vegetables,36,8.34
ISABELA,ANGADANAN,Other industrial crops,2,1.15
ISABELA,ANGADANAN,Other leafy vegetables,29,7.28
ISABELA,ANGADANAN,Other leguminous plants,1,0.14
ISABELA,ANGADANAN,Other poultry,4,0
ISABELA,ANGADANAN,Other spices,1,1.8
ISABELA,ANGADANAN,Other varieties of tobacco,26,27.18
ISABELA,ANGADANAN,Papaya,1,0.5
ISABELA,ANGADANAN,Peanuts,8,2.52
ISABELA,ANGADANAN,Pigs or swine,227,0
ISABELA,ANGADANAN,Pineapple,3,4.25
ISABELA,ANGADANAN,Rambutan,1,1
ISABELA,ANGADANAN,Rice/Palay,4036,4788.05
ISABELA,ANGADANAN,Sheep,1,0
ISABELA,ANGADANAN,Soybeans,1,0.31
ISABELA,ANGADANAN,String beans - harvested green (sitao),1,0.1
ISABELA,ANGADANAN,Sugarcane,51,126.83
ISABELA,ANGADANAN,Tilapia,8,2.33
ISABELA,ANGADANAN,Tobacco (native),20,18.79
ISABELA,ANGADANAN,Turkeys,3,0
ISABELA,ANGADANAN,Water melon,2,0.9
ISABELA,AURORA,Ampalaya,1,0.5
ISABELA,AURORA,Blue Ternate,1,0.5
ISABELA,AURORA,Buffaloes (Carabaos),14,0
ISABELA,AURORA,Cattle,46,0
ISABELA,AURORA,Chickens,40,0
ISABELA,AURORA,Corn,1436,2053.44
ISABELA,AURORA,Ducks,29,0
ISABELA,AURORA,Eggplant (talong),3,1.05
ISABELA,AURORA,"Forage grass (sacate, alfalfa, green corn stalk)",1,1.57
ISABELA,AURORA,Geese,1,0
ISABELA,AURORA,Goats,32,0
ISABELA,AURORA,Horses,1,0
ISABELA,AURORA,Kalamansi,159,145.47
ISABELA,AURORA,Lime (Calamansi),74,55
ISABELA,AURORA,Mandarin (dalanghita),1,1
ISABELA,AURORA,Mango,2,2.3
ISABELA,AURORA,Okra,1,0
ISABELA,AURORA,Orchard,1,8.5
ISABELA,AURORA,Other animals (e.g.,1,0
ISABELA,AURORA,Other fruit-bearing trees and vines,2,0.8
ISABELA,AURORA,Other fruit-bearing vegetables,77,44.71
ISABELA,AURORA,Other industrial crops,1,0.5
ISABELA,AURORA,Other leafy vegetables,55,30.06
ISABELA,AURORA,Other leguminous plants,1,0.5
ISABELA,AURORA,Other varieties of tobacco,113,82.64
ISABELA,AURORA,Papaya,1,1.5
ISABELA,AURORA,Pigs or swine,40,0
ISABELA,AURORA,Rice/Palay,1917,3399.73
ISABELA,AURORA,Sheep,1,0
ISABELA,AURORA,Sugarcane,2,15.8
ISABELA,AURORA,Tobacco (native),33,29.83
ISABELA,AURORA,Tobacco (Virginia),1,0.5
ISABELA,BENITO SOLIVEN,Bamboo (Kawayan),1,0.5
ISABELA,BENITO SOLIVEN,Banana,1125,1298.76
ISABELA,BENITO SOLIVEN,Beans - dry,2,0.4
ISABELA,BENITO SOLIVEN,Buffaloes (Carabaos),723,0
ISABELA,BENITO SOLIVEN,Cassava (kamoteng kahoy),26,21.92
ISABELA,BENITO SOLIVEN,Cattle,91,0
ISABELA,BENITO SOLIVEN,Chickens,813,0
ISABELA,BENITO SOLIVEN,Coconut,2,6.1
ISABELA,BENITO SOLIVEN,Corn,5134,7774.19
ISABELA,BENITO SOLIVEN,Dogs and cats,94,0
ISABELA,BENITO SOLIVEN,Ducks,402,0
ISABELA,BENITO SOLIVEN,"Forage grass (sacate, alfalfa, green corn stalk)",1,1.1
ISABELA,BENITO SOLIVEN,Geese,10,0
ISABELA,BENITO SOLIVEN,Goats,35,0
ISABELA,BENITO SOLIVEN,Horses,2,0
ISABELA,BENITO SOLIVEN,Kalamansi,2,0.95
ISABELA,BENITO SOLIVEN,Mango,3,2.9
ISABELA,BENITO SOLIVEN,Mongo (Mung Bean),1,0.25
ISABELA,BENITO SOLIVEN,Other fruit-bearing trees and vines,1,0.75
ISABELA,BENITO SOLIVEN,Other fruit-bearing vegetables,7,6.27
ISABELA,BENITO SOLIVEN,Other industrial crops,2,0.6
ISABELA,BENITO SOLIVEN,Other leafy vegetables,4,4.75
ISABELA,BENITO SOLIVEN,Other leguminous plants,1,1
ISABELA,BENITO SOLIVEN,Other oilseed crops,1,0.8
ISABELA,BENITO SOLIVEN,Other varieties of tobacco,7,4
ISABELA,BENITO SOLIVEN,Peanuts,3,0.65
ISABELA,BENITO SOLIVEN,Pigeons,4,0
ISABELA,BENITO SOLIVEN,Pigs or swine,443,0
ISABELA,BENITO SOLIVEN,Pineapple,1,0.25
ISABELA,BENITO SOLIVEN,Potato (patatas),1,0.5
ISABELA,BENITO SOLIVEN,Quail,1,0
ISABELA,BENITO SOLIVEN,Rice/Palay,4104,2890.95
ISABELA,BENITO SOLIVEN,Sheep,3,0
ISABELA,BENITO SOLIVEN,String beans - harvested green (sitao),2,0.35
ISABELA,BENITO SOLIVEN,Sugarcane,38,109.98
ISABELA,BENITO SOLIVEN,Tilapia,3,0.68
ISABELA,BENITO SOLIVEN,Tobacco (native),6,1.8
ISABELA,BENITO SOLIVEN,Turkeys,10,0
ISABELA,BENITO SOLIVEN,Water melon,5,3.7
ISABELA,BURGOS,Buffaloes (Carabaos),1,0
ISABELA,BURGOS,Cattle,2,0
ISABELA,BURGOS,Chickens,4,0
ISABELA,BURGOS,Corn,496,757.93
ISABELA,BURGOS,Ducks,6,0
ISABELA,BURGOS,Goats,1,0
ISABELA,BURGOS,Hito/Catfish,3,2.03
